"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20","attention_check","response_time_sec","criterion","known_group"
"P001",2,3,3,3,3,3,5,NA,5,2,1,1,1,1,3,2,1,2,3,1,3,190.2,-0.385,"Low"
"P002",2,2,3,1,1,1,5,2,4,1,1,2,2,1,5,4,1,3,5,1,3,304.3,-0.589,"Low"
"P003",5,4,4,4,4,2,2,5,5,4,5,5,4,5,1,5,5,4,5,4,3,173.3,1.581,"High"
"P004",1,1,1,1,1,1,4,1,1,2,1,1,1,1,3,2,2,4,3,1,3,260.1,-2.611,"Low"
"P005",2,4,5,3,3,1,3,1,1,1,1,2,2,2,3,5,4,3,3,4,3,361.4,-0.78,"Low"
"P006",2,4,1,2,2,2,2,1,2,2,1,2,1,2,3,2,1,1,1,1,3,167.4,0.119,"Low"
"P007",NA,5,1,3,5,1,2,3,4,3,4,5,3,1,5,1,2,3,1,2,3,180.5,-0.453,"High"
"P008",4,3,2,5,3,5,1,5,3,5,5,4,2,3,3,5,5,5,2,3,3,155.3,0.13,"High"
"P009",3,2,3,5,2,3,3,1,1,2,1,3,2,3,2,5,4,2,2,5,3,219.4,-0.688,"Low"
"P010",4,5,4,NA,2,5,4,2,1,2,1,3,1,2,5,2,1,1,1,4,3,145.4,-0.548,"High"
"P011",1,1,1,3,1,2,5,1,3,2,3,1,2,1,2,2,3,1,2,2,3,139.5,0.41,"Low"
"P012",1,2,3,1,2,5,4,5,3,4,2,2,1,5,1,4,2,2,2,1,3,193.1,-1.003,"Low"
"P013",2,2,2,2,2,2,5,5,4,1,1,4,3,2,3,3,1,1,2,5,4,165.7,1.781,"High"
"P014",4,3,5,4,2,4,2,4,2,2,3,3,4,2,2,5,5,5,4,4,5,383,0.674,"High"
"P015",2,1,1,1,1,2,5,5,4,5,2,1,4,5,1,5,5,5,5,5,3,194.5,-0.155,"Low"
"P016",5,5,5,5,4,5,2,3,5,5,5,5,5,5,3,2,4,1,2,1,3,123.2,0.718,"High"
"P017",3,4,4,3,3,4,1,4,3,4,2,4,4,1,2,4,4,5,2,5,3,203.3,-0.275,"High"
"P018",4,2,4,3,3,5,1,4,3,4,2,4,5,3,5,1,2,2,1,2,3,297,0.9,"Low"
"P019",1,3,1,2,1,1,4,2,1,2,1,1,2,1,5,1,1,1,1,4,3,89.4,-1.598,"Low"
"P020",2,2,5,1,4,2,5,3,4,3,3,2,4,1,5,5,4,3,2,2,3,185.5,0.862,"Low"
"P021",3,4,5,3,2,2,2,5,5,3,4,4,5,4,2,3,NA,5,3,4,3,120.1,0.68,"High"
"P022",4,4,4,3,2,2,2,3,5,4,2,5,5,5,4,1,1,4,3,3,3,430.3,-0.106,"High"
"P023",5,5,3,4,2,2,2,2,3,5,5,2,4,2,NA,3,4,2,2,1,3,235.1,-0.102,"High"
"P024",4,5,5,3,5,4,1,5,5,4,5,5,3,2,1,5,5,5,3,3,3,221.2,1.707,"High"
"P025",1,1,1,1,1,2,5,2,1,1,3,1,3,1,5,1,3,3,2,1,3,21.3,-0.67,"Low"
"P026",3,2,3,3,NA,4,3,3,2,3,2,2,3,1,1,4,5,4,3,5,3,201.4,1.027,"High"
"P027",1,2,1,2,2,1,4,1,2,1,1,1,1,1,5,3,3,4,2,5,3,298.5,-0.883,"Low"
"P028",4,5,5,5,4,5,3,4,3,3,5,3,1,5,2,5,4,3,5,4,3,179.4,0.504,"High"
"P029",4,5,2,4,1,5,3,4,3,1,2,1,3,5,3,1,3,3,1,5,3,240.9,1.424,"High"
"P030",2,5,5,2,4,5,4,2,3,5,4,5,2,3,3,5,3,5,3,2,3,428.8,-0.777,"High"
"P031",3,5,5,3,3,4,1,3,1,4,5,4,2,2,3,2,1,1,NA,2,3,128.1,-0.795,"High"
"P032",4,4,2,4,4,5,3,4,3,2,2,1,5,4,3,5,4,3,4,1,3,102.2,0.771,"Low"
"P033",3,5,1,1,2,4,2,3,3,4,3,3,5,2,4,3,NA,3,1,4,3,192.2,-0.565,"High"
"P034",5,4,1,1,4,5,3,4,4,2,1,4,4,3,4,4,2,2,4,3,3,108.2,0.133,"Low"
"P035",1,1,1,1,1,1,5,2,2,2,1,3,4,2,2,2,1,3,3,1,3,127.4,0.623,"Low"
"P036",3,4,4,4,5,2,1,5,NA,5,5,4,4,5,4,2,2,4,1,4,4,154.7,1.699,"High"
"P037",4,5,5,5,1,5,3,5,5,5,5,4,5,2,3,2,3,3,1,5,3,259,0.832,"High"
"P038",5,4,5,3,4,5,1,3,5,3,5,5,3,4,1,4,2,3,1,3,3,179.5,1.898,"High"
"P039",5,2,5,5,4,5,3,1,2,3,3,2,3,4,3,2,5,4,1,4,3,119.5,-0.31,"High"
"P040",1,1,1,3,1,1,5,1,1,1,1,1,NA,1,4,2,2,3,1,4,3,204.8,-2.52,"Low"
"P041",3,2,1,3,5,3,5,4,2,5,5,5,5,3,4,2,2,2,1,3,3,219.2,0.462,"Low"
"P042",2,3,2,1,3,2,5,2,1,2,5,1,3,4,4,NA,4,4,2,3,3,129.7,-0.145,"Low"
"P043",1,2,4,1,2,3,5,4,3,1,2,1,4,1,3,5,3,5,1,5,3,311.6,-0.541,"Low"
"P044",3,3,4,3,3,3,1,1,3,1,3,1,1,1,5,3,3,1,5,1,3,123.7,0.373,"Low"
"P045",2,2,3,5,4,4,1,3,4,NA,2,5,3,4,1,2,4,3,3,5,3,340.8,1.485,"High"
"P046",5,5,5,3,5,5,3,1,3,3,4,3,4,1,1,5,3,3,2,1,3,177.6,1.83,"High"
"P047",5,4,1,4,5,3,2,1,3,1,1,2,1,1,1,5,2,4,5,3,3,202.6,1.233,"High"
"P048",5,5,5,5,5,5,2,3,4,5,5,5,5,4,5,1,1,4,2,1,3,286.7,1.117,"High"
"P049",5,4,4,3,4,2,2,4,5,1,2,1,3,3,2,3,5,5,2,4,3,220.7,1.769,"High"
"P050",3,3,5,3,5,NA,4,4,5,3,4,2,4,4,3,4,1,5,5,4,5,171.7,1.871,"High"
"P051",4,3,4,2,4,5,1,5,3,5,5,5,2,4,3,4,1,3,4,4,3,35.7,0.759,"Low"
"P052",2,2,3,2,2,2,3,2,1,4,4,4,3,1,1,2,4,5,2,5,3,188,-0.063,"Low"
"P053",5,5,5,5,4,4,1,5,3,3,5,3,3,2,2,5,5,5,4,5,3,216.8,0.277,"High"
"P054",1,1,1,4,5,4,1,1,3,2,2,3,3,4,2,4,3,5,3,1,3,272,-1.201,"Low"
"P055",1,1,1,1,2,1,5,5,3,2,2,3,2,2,4,1,1,1,1,1,3,193,-2.59,"Low"
"P056",1,1,2,2,1,4,4,3,3,1,1,2,1,2,5,1,3,5,NA,1,3,120.5,0.449,"Low"
"P057",4,5,1,1,3,1,5,2,1,1,5,1,2,3,3,3,4,5,3,3,3,393.9,-1.115,"High"
"P058",3,5,4,5,5,4,2,4,4,2,4,3,5,3,2,4,3,2,4,5,3,160,-0.104,"High"
"P059",3,5,5,4,5,3,3,3,5,1,5,5,1,4,1,5,4,3,4,4,3,179.3,1.316,"High"
"P060",3,4,4,2,4,NA,4,NA,3,1,4,4,1,3,3,5,3,3,2,3,3,216.7,-1.619,"High"
"P061",5,5,5,5,5,5,1,1,3,2,3,1,1,4,3,4,1,3,3,1,3,261.1,1.858,"High"
"P062",3,5,4,4,3,5,4,4,4,2,3,5,5,1,3,3,3,4,2,5,3,473,-0.022,"Low"
"P063",5,3,3,5,5,3,5,3,1,2,2,1,2,3,3,1,2,1,3,5,3,263.8,-0.366,"Low"
"P064",4,5,3,4,5,2,3,4,2,5,4,5,5,5,4,2,5,1,1,1,3,172.3,1.63,"High"
"P065",1,3,NA,2,2,1,4,2,1,5,3,1,4,2,4,1,4,4,1,5,3,240.9,0.391,"High"
"P066",3,2,2,2,1,5,4,1,4,4,2,4,1,3,3,5,3,4,4,5,4,230.9,-0.051,"Low"
"P067",3,5,3,4,5,1,1,2,4,2,4,2,3,5,4,5,1,4,2,4,3,306.8,-0.005,"High"
"P068",3,3,4,4,1,4,4,2,1,4,2,1,2,1,5,4,3,3,5,3,3,119.2,1.743,"High"
"P069",5,4,3,5,4,4,5,5,5,3,4,4,4,5,3,3,2,2,4,2,3,179.1,0.372,"Low"
"P070",4,3,1,1,1,3,2,1,2,1,1,1,1,1,5,1,1,1,1,1,3,224.9,-1.493,"Low"
"P071",4,3,4,2,3,4,3,3,2,4,4,2,4,1,2,4,4,1,5,3,3,135.3,2.196,"Low"
"P072",5,3,2,3,5,4,5,5,4,4,5,5,5,5,3,5,5,3,3,3,3,187.9,2.13,"High"
"P073",2,1,2,1,2,5,5,2,2,4,4,4,2,3,3,5,NA,2,4,2,3,143.5,0.019,"Low"
"P074",4,1,3,4,3,5,4,1,2,2,3,2,1,1,5,1,2,1,3,2,3,130,-0.321,"Low"
"P075",2,3,1,3,1,2,5,1,1,2,2,4,2,1,NA,3,3,1,1,5,3,262.7,-0.039,"Low"
"P076",4,3,5,4,2,5,4,3,4,3,1,2,4,3,3,3,2,3,2,1,3,303.9,-0.966,"High"
"P077",4,3,5,3,NA,2,3,5,5,5,4,4,4,1,1,NA,3,3,3,1,3,197.7,1.173,"Low"
"P078",2,1,1,2,1,3,5,4,4,2,3,2,1,2,4,2,2,4,3,5,3,132.7,-0.469,"Low"
"P079",1,5,1,2,1,2,4,5,5,5,5,5,5,5,1,2,4,5,4,4,3,253.4,0.386,"Low"
"P080",1,2,1,1,1,1,4,2,2,3,3,4,3,1,4,4,4,5,3,4,3,212.1,-1.275,"Low"
"P081",5,5,5,5,3,4,1,4,2,2,1,4,3,2,5,3,1,2,5,3,3,187.9,2.163,"High"
"P082",1,1,1,1,1,1,4,4,2,4,4,1,3,2,2,3,1,2,1,1,3,283.6,-2.263,"Low"
"P083",5,5,5,5,5,5,3,4,5,3,2,5,3,5,3,3,4,2,3,4,3,348.4,1.303,"High"
"P084",3,3,3,1,2,3,5,4,4,5,5,4,2,4,2,4,4,5,5,3,3,138.2,-0.467,"Low"
"P085",2,1,2,4,2,2,5,4,2,5,5,2,1,3,5,1,2,1,1,1,3,98.3,-0.562,"Low"
"P086",4,1,1,4,3,2,4,3,5,5,4,1,2,3,2,2,1,1,2,2,3,176.4,-0.067,"Low"
"P087",2,3,1,3,1,1,5,2,3,1,2,4,4,1,3,4,3,NA,4,4,3,131.7,-0.169,"Low"
"P088",2,3,4,3,1,4,3,3,2,5,5,5,3,5,3,5,5,5,5,4,3,154.2,0.99,"High"
"P089",3,3,3,1,3,2,3,5,4,3,5,3,1,4,3,4,4,4,5,4,3,209.4,0.532,"Low"
"P090",2,5,5,3,1,5,2,4,4,5,5,2,5,4,1,5,2,4,2,5,3,382.6,1.711,"High"
"P091",1,2,1,1,1,1,5,3,2,4,1,4,3,4,5,1,2,5,4,1,3,144.6,-1.915,"Low"
"P092",2,2,4,2,5,5,4,1,1,2,1,2,2,2,1,1,4,1,5,2,3,157.4,-1.998,"High"
"P093",1,2,2,1,1,1,3,1,1,1,1,NA,1,1,4,1,1,1,1,1,3,105.1,0.025,"Low"
"P094",NA,1,1,1,3,3,4,2,1,1,2,2,1,3,4,1,2,1,1,1,3,156.8,-1.646,"Low"
"P095",2,2,2,1,3,1,4,4,2,1,2,4,4,4,4,2,2,2,1,1,3,82.9,-1.082,"Low"
"P096",5,5,4,2,4,3,1,5,4,4,3,4,5,5,3,2,3,5,5,5,3,188.2,0.542,"High"
"P097",4,5,4,5,5,4,2,2,1,3,3,4,2,4,4,5,4,4,5,5,3,236.8,2.684,"High"
"P098",1,1,1,3,2,4,5,1,2,3,1,1,3,3,2,1,1,1,1,2,3,178.5,-1.331,"Low"
"P099",3,4,2,3,3,3,2,3,1,1,2,4,3,2,5,1,1,1,1,1,3,443.7,-0.38,"Low"
"P100",3,3,4,2,1,2,2,5,4,5,4,3,4,4,5,1,5,4,3,2,3,94.2,-1.332,"High"
"P101",1,1,1,2,NA,1,5,1,1,1,1,2,1,1,3,2,3,1,NA,3,3,137.9,-1.066,"Low"
"P102",4,5,4,5,5,4,4,5,1,5,4,4,2,2,3,3,1,1,4,5,3,239.7,0.689,"High"
"P103",1,2,1,2,3,1,5,1,2,2,3,1,4,1,2,4,5,2,4,2,3,286.9,-0.073,"Low"
"P104",1,1,4,1,4,2,1,1,3,1,2,4,1,4,5,1,2,4,NA,3,3,98.3,-2.226,"Low"
"P105",4,4,2,4,3,2,4,3,1,1,NA,1,1,1,3,2,2,1,1,2,3,372.9,0.85,"High"
"P106",1,1,1,1,2,2,5,1,3,1,1,1,2,3,4,4,2,1,1,2,3,247.2,-1.955,"Low"
"P107",3,1,2,5,4,2,3,5,5,3,4,4,2,5,5,1,3,2,3,3,3,265.4,-0.751,"Low"
"P108",2,4,3,3,2,5,5,3,1,4,3,1,4,5,4,3,4,3,1,2,3,141.6,0.924,"Low"
"P109",2,4,5,5,3,4,1,5,4,5,3,4,5,3,4,4,4,5,3,4,3,174.3,2.375,"High"
"P110",4,3,3,2,2,1,1,1,1,3,1,1,2,1,5,1,1,1,3,2,3,111.3,-1.073,"Low"
"P111",3,3,2,5,5,2,1,4,2,4,4,5,4,3,2,4,1,2,1,3,3,345.6,-0.334,"High"
"P112",2,1,3,3,1,2,2,2,3,3,3,NA,4,3,1,3,3,3,4,4,3,135.7,-0.426,"Low"
"P113",1,1,1,4,1,1,4,1,1,3,1,3,1,3,2,2,1,4,3,2,3,159.4,-1.98,"Low"
"P114",5,5,5,5,5,5,1,4,5,3,3,3,NA,5,1,5,4,4,4,3,3,218.2,1.469,"High"
"P115",4,4,2,1,2,3,1,3,3,5,3,2,5,3,3,3,2,3,4,1,3,366.5,-0.51,"High"
"P116",1,1,1,5,4,2,4,1,1,1,4,4,1,1,4,4,1,4,1,3,3,347.9,-0.574,"Low"
"P117",1,3,1,1,2,NA,5,5,4,3,5,1,5,3,5,1,2,1,1,1,3,287.1,-1.227,"Low"
"P118",3,5,5,4,4,1,5,2,2,NA,3,2,4,1,4,2,3,2,4,3,3,188.1,-1.015,"Low"
"P119",5,5,4,4,4,5,4,4,3,2,1,2,4,4,2,4,2,4,4,3,3,157.8,2.535,"Low"
"P120",4,5,5,5,4,4,2,5,5,4,5,3,3,4,3,3,5,4,4,5,3,199.8,0.993,"High"
"P121",3,3,5,5,4,4,2,3,1,1,3,2,5,4,5,2,5,3,5,5,3,367.9,1.674,"High"
"P122",2,2,2,3,4,3,2,1,1,1,1,3,2,3,4,1,5,2,3,NA,3,434.1,-1.663,"Low"
"P123",2,2,2,2,3,2,3,2,2,3,2,1,1,5,5,NA,4,2,4,1,3,167.1,-0.292,"Low"
