"item","dimension","true_loading","reverse_keyed"
"Item01","F1",0.75,""
"Item02","F1",0.722,""
"Item03","F1",0.693,""
"Item04","F1",0.665,""
"Item05","F1",0.637,""
"Item06","F1",0.608,""
"Item07","F1",0.58,"yes"
"Item08","F2",0.72,""
"Item09","F2",0.692,""
"Item10","F2",0.663,""
"Item11","F2",0.635,""
"Item12","F2",0.607,""
"Item13","F2",0.578,""
"Item14","F2",0.55,""
"Item15","F3",0.7,"yes"
"Item16","F3",0.672,""
"Item17","F3",0.644,""
"Item18","F3",0.616,""
"Item19","F3",0.588,""
"Item20","F3",0.56,""
