"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","attention_check","response_time_sec"
"S001",2,3,2,2,4,2,4,5,3,5,5,2,4,3,1,4,3,75.9
"S002",3,1,NA,4,1,1,NA,1,1,2,2,1,1,5,2,NA,3,137.2
"S003",2,4,5,4,5,5,4,5,5,5,3,4,3,5,3,4,3,321.5
"S004",3,2,1,3,2,4,1,2,1,2,2,1,1,1,2,4,3,151.4
"S005",2,2,1,2,1,3,1,1,1,1,1,1,2,1,2,1,3,106.8
"S006",1,2,1,3,1,2,3,2,3,3,4,1,3,3,2,5,3,145.1
"S007",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,126.6
"S008",3,4,5,4,4,4,2,3,4,4,5,5,4,4,4,4,3,338.3
"S009",3,2,2,1,4,2,2,1,1,1,1,2,2,1,3,1,3,90.8
"S010",5,2,3,5,4,5,1,2,2,4,1,3,4,2,1,5,3,215
"S011",5,3,5,5,5,5,2,4,4,3,4,4,4,4,4,3,3,283.7
"S012",4,5,3,4,4,5,1,5,1,3,5,3,4,2,4,5,4,86.3
"S013",3,3,3,5,5,2,5,5,4,3,2,2,3,3,2,3,2,134.1
"S014",5,5,5,3,5,2,1,5,5,5,5,5,4,5,3,3,3,124
"S015",1,1,1,2,1,2,2,4,1,1,3,1,3,3,1,3,3,92.5
"S016",1,5,3,1,2,3,4,2,NA,3,1,4,4,1,3,1,3,147.6
"S017",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,227.6
"S018",1,2,3,NA,2,1,2,1,1,3,2,1,1,4,NA,3,3,123.1
"S019",4,4,3,4,3,3,3,2,3,4,5,4,2,5,5,1,3,332.9
"S020",2,2,3,5,3,2,1,5,4,4,4,4,2,5,4,5,3,322.3
"S021",2,2,4,3,3,2,4,3,2,4,2,3,3,2,3,2,3,227
"S022",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,149.8
"S023",2,1,3,1,2,2,2,1,1,2,1,5,1,2,1,4,3,232.2
"S024",5,5,5,4,5,3,1,4,5,5,5,5,5,2,4,4,3,125.6
"S025",1,1,2,1,3,5,1,1,2,4,3,1,5,3,2,2,3,165.7
"S026",1,2,4,4,4,1,1,5,3,2,4,2,2,1,2,5,3,129.5
"S027",4,3,3,1,3,1,3,2,4,4,3,4,1,1,1,4,3,103.7
"S028",4,5,5,4,5,5,1,4,2,1,4,1,1,2,4,5,3,236.1
"S029",4,5,5,5,4,3,5,4,2,2,2,2,2,1,2,3,3,212.1
"S030",3,2,5,5,5,4,5,2,5,5,3,4,4,4,4,1,1,411.7
"S031",2,1,1,1,2,2,1,4,2,1,4,2,2,1,5,4,3,137.3
"S032",1,2,1,1,1,1,2,1,2,2,5,1,2,2,1,1,3,296.9
"S033",4,5,5,4,5,3,5,5,1,4,5,4,5,4,3,5,3,100.6
"S034",4,2,2,2,4,3,5,5,5,5,4,5,2,3,5,3,3,34
"S035",2,4,4,5,4,3,4,5,5,4,1,5,2,4,4,5,3,196.2
"S036",4,5,3,4,5,5,1,5,4,3,4,3,5,4,5,5,3,165
"S037",5,3,1,3,3,1,5,1,1,1,1,1,4,1,1,3,3,190.9
"S038",5,5,5,4,4,4,5,5,2,5,5,3,1,5,2,3,3,189.8
"S039",3,5,4,5,3,4,5,5,5,4,1,4,3,2,2,3,3,258.2
"S040",1,1,3,1,1,1,1,1,1,3,1,1,1,2,1,1,3,69.9
"S041",4,5,4,5,4,4,1,5,5,3,5,5,5,5,5,4,3,134.8
"S042",4,3,4,3,3,2,5,4,4,1,1,2,2,2,2,4,3,173.7
"S043",4,3,3,4,5,5,3,2,5,5,3,4,5,4,3,1,3,241
"S044",2,1,3,1,1,5,5,3,2,1,1,1,1,1,1,3,3,192.2
"S045",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,166
"S046",2,2,5,3,2,5,1,1,1,1,1,2,1,2,1,1,3,88.4
"S047",4,1,2,2,2,3,2,3,4,4,3,3,5,3,4,4,3,147.4
"S048",1,3,4,2,2,1,4,2,2,3,2,4,1,5,1,3,3,221.3
"S049",4,5,5,4,4,5,2,2,5,4,5,4,4,4,4,5,3,19.3
"S050",5,4,3,5,2,4,1,1,3,3,5,4,5,1,4,2,3,180.6
"S051",3,2,1,2,1,5,1,1,1,1,1,1,1,3,1,3,3,103.1
"S052",4,1,3,2,2,1,5,4,3,3,3,4,4,5,3,2,3,254.8
"S053",2,1,4,1,1,3,2,1,3,1,2,4,1,3,1,4,3,461.1
"S054",3,2,1,3,5,2,5,3,2,3,5,2,2,3,2,3,3,193.1
"S055",4,2,4,2,1,3,5,2,4,4,3,3,5,1,1,1,3,187.9
"S056",5,5,5,5,5,5,5,4,4,2,2,1,3,2,3,5,3,809.1
"S057",1,3,2,3,1,2,4,2,2,2,1,3,1,4,1,4,3,37.3
"S058",3,2,2,2,3,2,3,3,3,NA,3,3,4,NA,NA,2,3,184.5
"S059",5,4,5,1,4,3,5,5,4,5,3,3,4,4,3,4,3,167.3
"S060",1,1,2,1,3,2,3,2,4,1,1,1,5,4,3,3,3,378.2
"S061",1,1,3,1,1,1,1,1,1,2,3,1,3,1,1,3,3,147.6
"S062",5,3,2,2,3,1,5,2,5,2,3,2,4,2,3,5,3,168
"S063",4,1,5,4,2,2,1,4,3,5,3,4,5,3,5,1,3,218.7
"S064",4,4,5,3,4,2,5,5,5,5,3,4,3,3,3,1,3,231.3
