"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","attention_check","response_time_sec","criterion","known_group"
"E001",3,NA,3,4,2,3,1,1,1,1,1,3,1,2,4,3,114.5,-0.84,"Low"
"E002",1,5,4,2,1,2,4,2,2,5,3,5,5,1,5,3,187.1,-0.725,"Low"
"E003",3,3,3,5,3,2,2,5,4,2,1,2,2,2,1,3,125.2,1.292,"Low"
"E004",1,2,4,NA,4,1,1,4,3,4,1,2,NA,1,2,3,146.5,0.65,"Low"
"E005",2,4,1,2,2,4,4,2,4,2,3,5,5,3,1,3,135.6,-0.049,"Low"
"E006",3,1,4,1,1,3,1,1,2,3,5,1,1,3,3,3,159.5,0.903,"Low"
"E007",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,130.2,0.086,"High"
"E008",1,1,2,1,2,3,4,2,1,5,3,2,4,2,2,3,115.9,0.468,"Low"
"E009",2,2,1,2,4,1,1,2,1,3,1,3,4,1,5,3,152.7,0.098,"Low"
"E010",5,3,4,5,3,3,5,5,2,5,5,1,1,5,5,3,147.5,1.405,"Low"
"E011",5,5,5,4,4,NA,4,3,2,NA,3,3,3,1,4,3,150.9,0.099,"Low"
"E012",1,2,1,1,5,2,1,5,5,4,2,3,4,NA,2,3,189.1,0.141,"Low"
"E013",1,1,4,2,1,1,5,3,3,4,3,2,5,4,1,3,104.7,1.262,"Low"
"E014",4,2,1,1,5,5,3,1,4,5,5,3,1,5,NA,3,208.8,-2.641,"Low"
"E015",NA,4,2,2,4,5,4,2,5,4,3,1,4,1,3,3,374.3,1.422,"High"
"E016",2,1,1,2,5,4,5,4,4,4,1,NA,NA,2,4,3,281.4,-0.127,"Low"
"E017",2,2,3,3,2,2,1,2,5,5,5,5,2,4,5,3,237.2,0.918,"Low"
"E018",2,2,4,3,1,4,1,1,2,3,1,5,2,5,4,3,131.4,-0.187,"Low"
"E019",2,2,2,2,NA,1,4,3,5,3,1,4,3,5,4,3,565.5,0.772,"Low"
"E020",2,2,2,4,1,1,4,1,5,3,3,2,4,3,4,3,305.5,-0.274,"High"
"E021",5,3,5,5,4,5,5,4,5,NA,4,1,2,2,3,3,231.7,-1.596,"High"
"E022",1,1,4,1,2,2,3,2,5,4,NA,2,5,1,2,2,313,0.823,"Low"
"E023",4,3,4,1,1,1,5,2,3,4,2,2,5,5,3,3,290.2,0.288,"High"
"E024",1,4,5,4,NA,5,2,2,5,3,2,5,2,3,5,3,198.9,0.54,"High"
