"Row","Theta"
1,-0.3179
2,-2.1314
3,-0.8129
4,1.5448
5,1.2358
6,0.4708
7,-0.563
8,-0.1088
9,-0.7641
10,-0.3342
11,-1.6891
12,-2.0224
13,1.0116
14,1.6602
15,1.9776
16,-0.4304
17,-0.2106
18,-0.3039
19,-1.1932
20,0.3616
21,0.3494
22,-0.7348
23,0.5134
24,-0.0994
25,-0.4676
26,0.4934
27,-0.5943
28,-1.6787
29,-1.7172
30,2.0108
31,-0.394
32,-0.2941
33,0.1479
34,-0.5548
35,-0.9683
36,0.2761
37,-2.5805
38,0.7623
39,-2.1503
40,0.1566
41,0.0998
42,-0.5855
43,0.2677
44,-1.6791
45,-1.87
46,0.5218
47,-0.9104
48,-1.7677
49,-0.4516
50,0.6825
51,-0.5424
52,-0.3714
53,2.2898
54,0.2353
55,-2.0437
56,1.8075
57,-0.2519
58,-0.8172
59,0.8284
60,-1.4262
61,0.3781
62,0.3744
63,1.7038
64,0.81
65,1.4179
66,-0.5351
67,0.4676
68,-2.0285
69,-0.7556
70,0.2947
71,-0.952
72,-0.9456
73,0.2875
74,0.0831
75,2.3206
76,-1.6223
77,0.1478
78,0.8277
79,0.9736
80,1.4161
81,1.168
82,-0.5251
83,-0.61
84,0.0042
85,1.2148
86,-0.8438
87,-0.5793
88,-0.4924
89,-0.8635
90,-0.7273
91,-2.0267
92,-0.2019
93,0.1612
94,-1.749
95,-0.283
96,-0.9923
97,-1.131
98,0.1149
99,1.0384
100,1.0781
101,-0.0704
102,-2.0034
103,-0.1636
104,0.5731
105,-0.0435
106,0.4125
107,1.443
108,-0.3633
109,0.3454
110,0.1469
111,-0.1343
112,0.4098
113,0.1234
114,-0.5547
115,-0.9089
116,0.1305
117,1.4686
118,-1.6454
119,1.001
120,0.839
121,-2.509
122,-1.6226
123,-1.1309
124,-0.7455
125,0.0285
126,-0.5576
127,0.1309
128,1.2235
129,2.214
130,-0.7183
131,2.7272
132,0.7457
133,1.5551
134,-0.2892
135,-0.5679
136,0.4719
137,-2.1228
138,0.561
139,-1.6731
140,2.0743
141,-0.4581
142,-0.391
143,-1.733
144,-0.4265
145,-0.1378
146,-0.5419
147,-1.6416
148,-0.7073
149,-1.115
150,-0.1162
151,1.1591
152,-0.3578
