"Row","Theta"
1,-0.0422
2,0.3034
3,1.56
4,0.243
5,-1.8314
6,1.9301
7,2.1637
8,1.0101
9,0.8934
10,-1.144
11,-1.2867
12,-0.2486
13,1.1638
14,-0.5795
15,-1.6071
16,-1.1647
17,0.7409
18,-1.2569
19,-0.2534
20,-0.7021
21,-0.4608
22,-1.2607
23,-0.2907
24,0.3506
25,0.4572
26,-0.2039
27,1.1257
28,0.2348
29,-0.7573
30,-1.1915
31,-1.1377
32,1.6663
33,0.7542
34,-0.253
35,-0.0841
36,-0.008
37,-1.1754
38,2.0123
39,0.7221
40,0.6554
41,0.4097
42,-0.1058
43,-0.1447
44,0.183
45,-0.3759
46,-0.4187
47,0.3471
48,-0.4514
49,0.0249
50,0.1639
51,-0.4864
52,-0.603
53,-0.2488
54,-0.0695
55,1.9253
56,-0.0496
57,-1.1366
58,-0.3643
59,0.8512
60,-2.0518
61,-0.0941
62,-0.1325
63,-1.1244
64,-1.0927
65,0.8852
66,-0.2736
67,0.2542
68,1.1936
69,-0.1601
70,0.1854
71,0.3258
72,-1.0985
73,-0.7907
74,-0.1816
75,1.1126
76,0.8128
77,1.7231
78,0.5712
79,-1.0816
80,-0.1517
81,0.7454
82,-0.9813
83,0.0977
84,-0.3398
85,0.1569
86,-0.8155
87,-0.1891
88,-0.4414
89,-0.608
90,0.0485
91,0.3871
92,0.5568
93,-1.3614
94,-1.7162
95,-0.5874
96,1.0978
97,-0.0787
98,-0.2591
99,-0.0372
100,-1.3634
101,-0.7439
102,0.6087
103,-0.3369
104,0.1518
105,-1.1455
106,0.6576
107,-0.7758
108,0.2832
109,1.3667
110,-2.5165
111,-1.2533
112,-0.7359
113,1.9658
114,0.7954
115,-0.5996
116,0.3997
117,0.879
118,-1.3466
119,0.6254
120,-0.7123
121,-0.255
122,-1.5636
123,0.8694
124,-1.6205
125,0.4922
126,-0.4156
127,-0.108
128,1.9143
129,-1.0421
130,0.9296
131,-0.0184
132,-0.5801
133,-1.5825
134,-0.421
135,-0.258
136,-1.072
137,0.1303
138,0.4546
139,-0.0437
140,-0.8057
141,-0.8104
142,0.2332
143,-0.0819
144,0.4022
145,0.0246
146,-1.8559
147,-0.8235
148,-1.179
149,-0.5544
150,-1.4651
151,0.715
152,0.0493
153,-0.2069
154,0.1284
155,-0.4016
156,-1.3944
157,0.1101
158,-1.5003
159,-0.661
160,1.5816
161,-1.0212
162,1.0472
163,1.5177
164,-1.4209
165,0.8109
166,0.4378
167,1.1279
168,1.5701
169,0.9163
170,0.1555
171,0.6465
172,-1.2213
173,-1.3168
174,-0.0544
175,1.9869
176,0.26
177,-0.2754
178,0.646
179,0.34
180,-2.2488
181,0.7706
182,-0.826
183,0.8099
184,0.5536
185,-0.1597
186,-1.0902
187,2.1551
188,0.5942
189,1.2572
190,-0.5242
191,-1.5023
192,-0.1251
193,3.154
194,-1.3246
195,-0.3632
196,-2.2005
197,-2.6543
198,-0.8888
199,-1.6164
200,-1.6013
201,1.5854
202,-0.4192
203,-0.104
204,0.8707
