"Item","a","b1","b2","b3","b4"
"Item01",1.515,-1.743,0.696,0.834,1.748
"Item02",1.744,-1.314,-1.286,0.631,1.544
"Item03",0.99,-1.605,-1.193,-0.834,0.234
"Item04",0.994,-0.838,-0.284,0.093,1.484
"Item05",0.914,-1.59,-1.066,0.527,1.344
"Item06",1.101,-2.035,-1.587,-0.58,1.32
"Item07",1.211,-0.708,0.291,0.847,1.016
"Item08",1.708,-0.673,-0.053,0.213,0.294
"Item09",1.02,-1.932,-1.694,-0.384,1.309
"Item10",1.618,0.653,1.377,1.802,2.124
"Item11",1.615,-1.951,-1.106,-0.163,0.718
"Item12",1.069,-1.253,-1.167,0.531,1.069
"Item13",0.961,-0.95,-0.854,0.946,1.521
"Item14",1.259,-0.906,-0.602,0.065,0.181
"Item15",1.382,-2.144,-1.938,-0.567,-0.473
