"Row","F1","F2"
1,0.2702,-0.4186
2,0.1615,-1.0158
3,-0.38,-0.6416
4,-2.0412,-0.7529
5,0.2952,-0.591
6,-0.7154,0.3303
7,0.7103,1.1959
8,0.6645,0.7686
9,0.5898,-1.9066
10,-0.711,-0.3375
11,0.1453,0.5419
12,-0.6027,-0.0624
13,-0.8761,0.4302
14,1.1515,0.3031
15,0.2757,-1.2658
16,0.5374,1.0435
17,0.9654,1.0461
18,-2.5902,-0.9747
19,-0.566,0.7457
20,-2.3326,-1.3956
21,1.113,0.0396
22,0.1904,-2.0252
23,-0.928,-0.5402
24,-0.8329,0.5183
25,-0.8588,0.0247
26,-1.3095,-0.987
27,-0.1375,-0.0299
28,0.0717,-1.6848
29,0.9032,0.8825
30,-1.0967,0.5299
31,1.7415,2.0598
32,-0.1323,0.0525
33,1.8763,0.2014
34,0.9481,-0.6035
35,0.8066,0.8691
36,-0.7178,0.0937
37,0.5315,1.4251
38,0.1094,0.0347
39,2.5218,1.5439
40,-0.9568,-0.1546
41,0.0952,0.5389
42,0.7812,0.475
43,-1.8756,-0.3984
44,0.9608,0.029
45,-0.9036,-1.0977
46,0.1278,0.0728
47,1.8087,1.3941
48,-0.4528,-1.6121
49,-0.0489,0.7024
50,-0.0129,-0.5031
51,-0.382,1.4652
52,0.4067,-0.2827
53,-0.3526,0.1035
54,-2.1189,-0.5239
55,-0.7827,-1.132
56,0.57,0.0611
57,1.5609,-0.1185
58,0.483,-0.4457
59,0.6098,-0.0799
60,-0.7525,1.2243
61,-0.8613,-1.6881
62,0.7022,0.8205
63,-0.5914,1.03
64,0.3628,2.3251
65,-0.1886,1.1964
66,1.3002,2.2129
67,0.556,1.8832
68,0.2026,0.6266
69,0.4712,1.2062
70,-0.543,-2.0868
71,0.044,-0.7497
72,-0.6674,-0.5638
73,-0.9772,0.666
74,1.09,-0.0404
75,0.902,-0.7179
76,-0.6264,-0.8097
77,0.834,1.1473
78,-0.078,-0.7573
79,0.9451,0.9984
80,0.853,0.9384
81,0.2854,1.2253
82,-2.345,-0.9926
83,-0.2033,1.0355
84,0.4762,1.2189
85,-7e-04,0.5243
86,0.0576,0.9726
87,-0.1584,-0.176
88,-0.6773,0.0226
89,0.2858,-0.9701
90,-0.0115,-1.3143
91,-0.6696,0.5596
92,0.1521,-0.2921
93,0.733,1.2758
94,-0.2363,1.037
95,0.3337,0.8551
96,0.8278,-0.1058
97,-1.8201,-0.1062
98,-0.0779,0.3242
99,0.1451,1.1299
100,-0.2375,0.4792
101,1.424,0.0772
102,-0.2,-0.3431
103,0.2363,-0.0339
104,0.5036,-0.0709
105,1.2949,0.8107
106,0.2207,0.938
107,0.4327,0.2745
108,-0.0975,1.1426
109,0.7354,-0.6035
110,0.1082,-0.896
111,1.6203,0.0627
112,0.6393,-0.0268
113,-0.6385,-1.6781
114,-1.1764,1.6878
115,1.5173,-0.4778
116,-0.3412,-1.6587
117,1.0016,-0.4261
118,-1.1717,-0.543
119,0.0684,-1.1438
120,0.0244,1.2869
121,-0.2953,-0.133
122,0.2421,-0.1994
123,-1.7513,-1.4594
124,-0.0464,0.5482
125,0.063,0.8429
126,-1.0413,-1.4368
127,-0.2922,1.6787
128,2.074,1.12
129,0.1162,0.4892
130,1.7154,2.3919
