"Item","a1","a2","primary_dimension","b1","b2","b3","b4"
"Item01",1.028,0.037,"F1",-0.694,0.741,0.925,1.46
"Item02",1.643,0.171,"F1",-1.229,-0.501,0.136,1.286
"Item03",1.373,0.111,"F1",-2.198,-1.7,-1.591,0.116
"Item04",0.915,0.002,"F1",-0.058,0.078,0.688,0.971
"Item05",1.529,0.118,"F1",-1.743,-1.106,-0.197,-0.059
"Item06",1.443,0.044,"F1",-1.402,1.382,1.495,1.82
"Item07",0.976,0.08,"F1",-0.569,-0.446,0.091,2.042
"Item08",1.199,0.172,"F1",-0.927,-0.578,0.115,0.726
"Item09",1.668,0.191,"F1",-1.529,1.48,1.933,2.052
"Item10",1.09,0.017,"F1",-1.801,-1.539,-1.482,-0.689
"Item11",0.987,0.187,"F1",-0.332,0.072,1.025,1.59
"Item12",1.129,0.134,"F1",-0.61,1.452,1.543,2.144
"Item13",0.192,1.603,"F2",-1.641,-0.991,0.892,1.466
"Item14",0.065,1.049,"F2",0.533,1.571,1.919,2.181
"Item15",0.188,1.592,"F2",-2.079,-1.637,0.953,1.937
"Item16",0.008,1.517,"F2",0.314,0.33,0.446,1.665
"Item17",0.175,0.918,"F2",-1.554,-1.432,-0.782,-0.19
"Item18",0.072,1.002,"F2",-0.968,-0.582,-0.468,1.043
"Item19",0.063,1.325,"F2",-1.931,0.729,0.837,2.005
"Item20",0.124,1.388,"F2",-1.854,1.767,1.974,2.003
"Item21",0.041,0.934,"F2",-1.954,-0.269,1.206,1.386
"Item22",0.043,1.572,"F2",-1.681,-1.649,-1.173,1.1
"Item23",0.109,1.613,"F2",-0.558,-0.161,0.716,1.438
"Item24",0.12,1.526,"F2",-1.057,-0.67,0.552,1.315
