"Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
0,1,1,1,0,1,1,1,1,0,NA,1,0,0,1,0,0,1,0,0
1,1,1,1,1,NA,1,1,1,1,1,0,1,0,NA,1,1,1,0,1
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0
NA,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0
0,1,1,1,0,1,0,1,0,NA,0,NA,0,0,1,0,0,0,0,NA
1,1,1,1,0,0,NA,1,1,1,1,0,1,1,1,NA,0,NA,0,1
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
0,1,1,1,NA,1,NA,1,1,0,0,0,0,0,0,1,0,1,0,0
0,1,0,1,NA,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,NA,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1
0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,NA
0,0,1,NA,0,0,0,0,0,0,0,NA,1,0,1,0,0,0,0,0
0,1,1,1,0,1,0,1,0,0,0,0,0,0,NA,1,0,1,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,NA,1,0,0,0,0,0
NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
NA,1,1,1,0,1,1,NA,1,0,1,1,1,1,1,1,0,1,0,0
0,0,1,1,0,1,0,NA,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0
0,0,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,NA,1,NA,0,0,0,0,1,NA,0,0,0,0,0
0,1,1,NA,0,0,0,1,0,0,0,0,0,NA,1,1,0,NA,0,0
1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0
1,1,1,1,0,NA,0,1,1,1,1,1,NA,1,1,0,1,1,1,NA
0,1,1,1,NA,1,0,1,0,0,0,1,0,0,1,1,1,1,NA,0
0,1,1,1,0,1,1,1,0,0,NA,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,1,1,0,NA,1,0,0,1,1,0,0,1,NA
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,0,NA,0,1,NA,0,0,0,0,0,1,0,0,0,0,0
0,1,1,1,0,1,0,1,0,0,0,NA,0,0,1,1,0,1,0,0
0,0,1,1,0,1,0,1,1,0,0,NA,0,0,1,1,0,1,NA,0
1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
1,NA,1,1,0,NA,1,1,1,0,0,0,1,0,1,1,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,1,NA,1,1,0
0,0,1,1,1,1,0,1,0,0,NA,0,0,0,NA,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,1,0,1,NA,1,1,0,0,1,1,1,0,1,0,0
0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0
0,NA,1,1,1,1,0,1,0,NA,0,0,NA,NA,1,1,1,1,0,NA
0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
0,1,1,1,0,0,NA,1,NA,0,0,0,0,0,0,0,0,NA,0,0
1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,NA,0,1,0,0
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,0,1,NA,1,1,1,0,0,0,0,1,1,0,1,1,1
1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,NA,0,1,0,1
1,1,1,NA,0,1,0,1,1,0,NA,0,0,0,1,1,1,1,0,0
0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,NA,1
0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0
0,0,1,1,0,0,0,1,0,0,0,0,0,0,NA,0,0,NA,0,0
1,1,1,1,NA,NA,1,1,NA,1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,NA,1
0,1,1,1,0,1,0,1,1,NA,0,0,0,NA,1,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0
0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1
0,0,1,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0
1,1,1,1,0,1,1,1,1,0,1,0,1,NA,1,1,NA,NA,0,0
1,1,1,NA,0,1,0,1,1,NA,1,1,0,1,1,1,1,1,0,1
0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,1,NA,1,0,1,0,0,0,1,1,0,1,0,0
0,1,0,1,0,0,0,1,0,0,0,1,1,0,NA,0,0,0,0,0
0,1,0,1,0,1,0,1,0,0,0,NA,NA,0,0,1,0,1,0,NA
0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1
1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0
0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
NA,1,1,1,0,1,1,1,NA,0,0,0,0,0,1,1,0,1,0,0
0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,NA,1,0,0,0,0,0,NA,0,0,0,0,0
NA,0,1,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,0,1,NA,0,0,0,1,0,1,1,0,0,1,1
0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0
1,1,1,1,0,1,1,1,0,1,0,NA,1,0,1,1,1,1,0,0
1,1,1,1,0,1,0,1,1,0,0,NA,0,1,1,1,0,0,0,1
0,1,1,1,0,0,0,1,1,NA,0,0,1,0,0,1,1,1,0,NA
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
1,0,1,1,0,1,1,1,1,NA,0,1,1,0,1,1,0,1,0,0
1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,NA,NA
1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1
NA,0,1,1,0,1,0,1,0,0,0,NA,0,0,1,NA,0,1,0,0
1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0
0,1,1,1,0,NA,0,1,0,NA,0,0,0,0,1,0,NA,0,0,0
1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0
0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,NA,1,0,0
NA,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0
0,1,0,1,0,0,NA,1,1,0,0,0,0,0,1,0,0,0,0,0
1,1,1,1,0,1,0,NA,0,0,1,0,0,0,1,1,1,1,1,0
0,1,1,1,0,1,1,1,NA,0,0,0,0,0,1,1,0,0,0,0
0,1,0,1,0,1,0,1,0,0,1,0,NA,0,1,NA,0,1,0,0
0,1,1,1,0,0,0,NA,1,0,1,0,0,0,1,0,0,1,0,0
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0
0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,NA
1,1,1,1,0,1,0,1,1,0,0,0,NA,0,1,1,1,1,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,0,1,1,1,1,1,NA,1,1,1,1,1,0,0
0,0,1,1,0,1,0,1,0,0,0,0,0,NA,1,1,0,0,0,0
0,1,1,1,0,1,1,1,1,1,0,NA,0,0,1,1,0,0,0,1
0,1,1,1,1,1,0,0,0,0,NA,0,0,0,1,1,NA,1,0,0
1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0
0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0
NA,0,1,1,0,0,0,1,0,0,0,0,NA,0,1,0,0,1,0,0
0,1,1,1,0,NA,0,1,1,1,0,0,1,1,1,NA,0,1,0,0
0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,NA,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0
1,1,1,1,0,1,1,1,1,0,NA,1,1,1,1,1,0,1,0,1
0,0,0,1,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
0,1,0,1,0,1,0,1,0,0,0,0,0,NA,0,1,NA,0,NA,0
0,1,1,1,0,1,0,1,NA,0,0,0,1,0,1,1,NA,1,NA,0
NA,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0
0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,NA,1,0,0,0
0,0,1,1,0,0,0,1,0,1,0,0,NA,0,NA,1,0,0,0,0
1,1,1,1,0,1,0,1,1,0,0,0,NA,0,1,1,0,1,0,0
1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,NA,0,1,0
0,1,1,1,0,1,1,1,1,0,0,0,0,0,NA,0,0,0,0,0
1,1,1,1,0,1,0,1,0,NA,0,0,0,0,1,NA,0,1,1,0
0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,NA,0,0,0
0,1,NA,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0
1,0,0,1,0,NA,0,1,1,0,0,0,NA,0,1,0,0,0,0,0
1,0,1,1,0,0,0,1,NA,0,0,0,0,0,1,1,0,1,1,0
0,1,1,NA,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1
0,1,1,1,0,1,0,1,0,0,NA,0,0,0,1,1,0,0,0,0
1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1
0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,NA,1,NA,0
1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0
1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0
1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0
0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
0,1,1,1,0,0,1,1,1,0,0,0,NA,0,1,1,0,1,0,0
1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,NA,1,1,0,0
0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0
0,1,1,1,NA,1,0,1,1,0,0,NA,0,0,1,0,0,1,0,0
NA,1,1,1,0,1,1,1,1,0,0,NA,0,0,1,1,0,1,0,0
0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,NA,0
0,1,1,1,0,0,1,1,0,0,1,0,0,0,NA,1,0,1,0,0
0,0,1,0,NA,0,0,1,1,0,0,0,1,0,NA,0,0,0,1,0
0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,NA,1,0,0
1,1,NA,1,0,0,0,1,0,1,0,0,NA,0,1,0,1,1,0,0
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,1,0,0,0,1,NA,0,0,0,0,0,1,0,0,1,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0
0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,NA,1,0,0
0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0,0,1,1,0,0,0,1,1,0,0,0,0,NA,0,1,0,1,0,0
0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1
NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0
1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1
0,0,0,1,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1
0,1,1,NA,0,1,1,1,1,0,0,0,0,0,1,NA,0,1,1,0
0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,NA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0
0,1,0,1,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0
0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
0,0,0,1,0,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,1,0,0,0,NA,1,0,1,0,0,1,1,0,1,NA,0,0
0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,NA
0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
0,1,1,1,0,NA,0,1,NA,0,0,0,0,0,NA,1,0,0,0,0
0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0
0,0,1,0,NA,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,NA,0,1,0,NA
1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0
0,1,1,1,0,1,0,1,1,NA,0,0,0,0,1,1,0,1,0,0
0,0,1,0,0,NA,0,1,0,0,0,0,NA,0,NA,0,0,0,0,0
1,1,1,1,0,1,NA,1,1,0,0,0,NA,0,1,0,0,1,0,0
0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,NA,1,0
1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0
1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0
0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,NA
NA,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0
0,NA,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0
0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0
