"Row","Theta"
1,-0.841
2,2.2066
3,-0.7555
4,-0.3441
5,-1.3835
6,-2.2383
7,-0.3116
8,-0.449
9,0.8232
10,-0.5306
11,0.3538
12,-1.0622
13,0.0561
14,0.9372
15,-0.7445
16,-0.1117
17,0.2858
18,-0.8571
19,-0.8026
20,1.0836
21,-0.6243
22,0.2013
23,1.3144
24,-1.1903
25,-1.2271
26,1.4606
27,0.3662
28,1.4924
29,-1.9943
30,0.2935
31,0.6643
32,-1.5095
33,-0.7719
34,-0.1819
35,0.3258
36,1.1361
37,-2.7707
38,0.27
39,0.1728
40,-1.0714
41,-0.8159
42,-0.1489
43,-0.3678
44,-0.739
45,-0.7655
46,-1.2246
47,-0.3627
48,0.8174
49,0.3184
50,-3.8453
51,-0.9928
52,-1.0946
53,2.1725
54,1.4249
55,0.5824
56,-0.9994
57,-0.9189
58,-1.3641
59,1.8876
60,0.2966
61,0.5858
62,-0.1132
63,-0.8344
64,-0.8849
65,0.0712
66,1.2287
67,-0.8499
68,-2.7021
69,-1.3884
70,-0.9148
71,-1.8636
72,0.8251
73,1.1273
74,0.2839
75,0.5965
76,-0.8879
77,0.0812
78,-0.5774
79,1.2031
80,-2.0862
81,-0.7608
82,-0.0519
83,0.7363
84,-1.1682
85,1.722
86,0.7887
87,0.4665
88,-1.0268
89,-1.082
90,1.5575
91,-1.1459
92,0.2086
93,-0.9423
94,-0.5759
95,0.7662
96,-1.2338
97,-0.5762
98,-0.0441
99,0.6556
100,1.3532
101,-0.0336
102,-0.9226
103,0.9714
104,0.3013
105,0.241
106,-0.1724
107,0.2138
108,-0.3405
109,0.8288
110,0.3686
111,-0.4477
112,1.4941
113,0.299
114,0.6114
115,1.1461
116,-2.6363
117,0.8486
118,-0.6366
119,-0.1538
120,1.1998
121,0.2117
122,0.986
123,-0.4323
124,0.2883
125,-0.1105
126,0.8199
127,1.6071
128,-0.6544
129,-0.6019
130,-0.7274
131,-0.9612
132,1.8536
133,-0.1587
134,0.7816
135,0.5502
136,0.275
137,-1.6462
138,0.0986
139,0.1105
140,1.1994
141,-1.7366
142,0.8033
143,-0.1514
144,-1.019
145,-0.3775
146,-0.1704
147,-0.4942
148,0.2739
149,-2.6724
150,1.579
151,0.5328
152,0.5
153,-1.8151
154,-1.0313
155,0.2708
156,-0.4555
157,-0.072
158,-1.2356
159,-0.8265
160,0.3263
161,-0.9918
162,0.6674
163,0.134
164,-0.8494
165,0.2845
166,-0.0147
167,1.1677
168,-0.4861
169,-1.6371
170,-0.0133
171,0.3297
172,0.0083
173,-0.2847
174,0.3355
175,-0.8134
176,0.3509
177,-0.8859
178,-0.6469
179,1.7499
180,-1.2592
181,-1.3998
182,-1.8527
183,0.6847
184,1.9127
185,-0.7867
186,0.4218
187,0.3412
188,0.5139
189,0.5135
190,0.5188
