"Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20","Item21","Item22","Item23","Item24"
5,5,3,4,5,3,3,5,5,5,2,5,3,5,3,5,2,3,2,3,5,1,4,5
5,5,3,2,5,4,5,5,5,4,3,2,2,3,2,4,5,4,3,4,5,3,4,4
3,3,3,1,1,2,1,3,1,1,2,1,2,3,2,3,3,3,4,1,3,2,3,3
4,4,3,2,5,3,3,4,5,4,4,4,3,2,4,5,4,4,5,3,5,2,4,4
5,4,3,3,5,3,2,4,5,4,5,3,5,4,3,4,3,2,2,3,4,5,3,4
4,3,4,4,3,3,2,5,3,1,3,2,2,4,3,5,3,2,3,3,3,1,4,4
3,5,4,3,5,2,2,4,5,2,3,1,5,3,2,5,3,5,5,5,5,3,4,4
4,5,3,1,4,3,3,1,5,3,3,2,3,3,3,4,2,3,2,2,3,3,2,4
2,3,4,4,4,3,2,4,5,1,1,2,2,1,1,1,3,2,2,1,2,1,2,3
4,4,3,1,3,1,2,1,4,1,1,2,3,1,1,1,2,3,3,1,2,2,3,2
3,2,3,2,1,1,2,2,3,1,2,2,2,1,1,4,3,2,2,2,3,2,4,4
2,2,3,2,2,2,2,1,4,4,1,2,3,4,2,4,1,1,2,1,1,2,1,1
3,2,2,1,1,2,2,1,5,1,2,1,1,2,3,2,3,1,1,2,3,1,2,3
5,3,3,1,5,4,2,5,5,4,3,4,4,3,4,5,3,5,5,3,2,4,5,3
5,5,5,5,4,4,5,5,5,4,2,5,4,4,4,5,3,3,3,4,3,2,3,4
5,3,3,3,4,4,3,5,5,4,1,3,5,3,2,4,1,1,1,1,1,1,1,2
3,2,4,2,1,2,2,2,4,3,1,2,4,4,1,5,4,3,4,3,5,5,4,4
3,5,3,4,4,2,4,5,5,3,3,2,2,2,1,4,3,4,4,4,5,4,4,4
4,4,3,3,3,3,4,4,5,2,5,1,5,3,5,4,3,3,2,1,2,3,3,3
3,3,3,2,5,3,2,3,5,5,5,4,5,3,5,5,5,5,5,3,5,5,5,4
3,3,3,2,5,3,2,4,5,3,1,2,3,3,2,3,3,4,5,3,4,2,3,4
3,4,3,3,5,2,2,5,5,2,1,2,1,1,1,4,1,3,4,2,4,2,3,4
