"Row","F1","F2","F3"
1,0.5592,1.2079,-0.182
2,1.1678,0.1139,1.6738
3,-1.0172,-1.341,0.3054
4,0.2454,0.7184,1.0476
5,0.7136,0.8777,0.4124
6,0.6659,-0.487,-0.0073
7,0.9424,0.5118,1.5573
8,0.2072,0.5542,-0.0494
9,-0.2038,-1.6841,-1.3102
10,-0.84,-1.3678,-0.0679
11,-1.1742,-8e-04,-0.6659
12,-1.1277,0.1076,-2.3877
13,-0.8226,-0.8022,-0.9952
14,0.6497,0.9509,0.3145
15,2.5962,1.6975,-0.2827
16,0.5374,0.3721,-2.549
17,-0.82,-0.071,0.6833
18,0.8444,-0.4188,1.1096
19,0.9579,1.147,-0.3743
20,-0.6147,2.2103,2.1649
21,-0.4525,0.5216,1.0816
22,0.114,-0.7789,0.1938
23,-0.7143,0.0467,0.9498
24,0.5619,-0.6713,-0.5717
25,-0.4396,-1.2508,-1.9061
26,1.8395,1.3419,0.0839
27,0.0199,1.1186,0.4564
28,-2.2797,-1.8994,-0.8656
29,-0.0381,-0.9111,-2.8593
30,0.9996,-0.0295,1.3416
31,-0.147,-0.7139,0.0301
32,-1.8164,-0.1183,-0.0433
33,1.0782,-0.4708,-0.1601
34,0.4341,1.5998,1.1258
35,-0.1821,0.8132,0.0597
36,0.0384,-0.0674,-0.5633
37,-1.4687,0.115,1.0791
38,1.5267,0.0035,1.196
39,1.0238,0.0258,0.1419
40,-0.4999,-0.0505,-1.8492
41,-0.7254,-1.1614,-0.335
42,0.2531,0.5813,1.7139
43,-0.8406,-0.5508,-1.5714
44,-1.8549,-1.3164,0.0424
45,0.8538,-1.7595,1.7044
46,-1.0497,-0.0434,0.7278
47,-0.1327,-0.902,0.033
48,-0.3592,-0.4843,1.4475
49,-0.6798,-1.2716,-0.745
50,1.2723,0.0774,0.1472
51,-0.9281,0.7202,-0.5021
52,-1.106,0.6881,-0.7149
53,0.8098,0.0079,1.1922
54,-1.1909,-1.83,-0.4188
55,-0.1194,-0.1408,0.9609
56,0.8741,-0.5199,-0.182
57,-1.7326,-0.4996,0.1984
58,-0.1774,-0.9557,0.1296
59,1.0385,0.1992,1.1738
60,-0.1156,-2.4258,-0.6964
61,-0.3778,-1.7355,-0.7733
62,0.4778,0.5948,0.9381
63,-3.2668,-1.757,-3.2987
64,0.419,1.7383,0.6441
65,-0.4239,-0.974,1.1288
66,2.1783,0.983,1.2654
67,-1.4267,0.1452,-0.607
68,0.0118,0.5138,-1.571
69,0.3195,-1.8867,-0.3028
70,0.9183,0.1714,-1.0421
71,0.1579,0.1997,0.1396
72,0.5518,-0.1008,-0.8253
73,0.4153,0.464,0.2701
74,-0.6812,-0.3427,-1.3691
75,-0.1126,-0.6773,0.2186
76,-0.6983,-1.3216,0.3874
77,0.1778,-0.5475,0.3827
78,0.6256,0.8307,-0.8389
79,-1.2647,-2.0198,-2.158
80,0.5421,0.9426,1.4262
81,-0.1144,-0.6814,0.0793
82,1.8124,0.4156,1.255
83,-1.6049,-0.6172,-1.0453
84,-0.7828,0.7245,1.5555
85,-1.3429,-1.3585,-0.3197
86,-1.8352,1.2777,0.7518
87,-0.0234,-0.5838,-0.6922
88,-0.943,-0.6389,-2.0097
89,-0.9499,0.37,-0.8429
90,1.5047,-0.1457,0.762
91,0.1571,0.2457,0.7513
92,-2.1259,-1.8388,-0.5765
93,1.761,0.9377,0.7618
94,1.3318,0.0011,0.2869
95,0.6955,-0.045,0.5171
96,0.6686,-1.0693,0.2782
97,0.3428,-0.4841,-0.2001
98,0.7866,0.9566,-0.7768
99,-1.397,-0.6799,0.0479
100,0.563,-1.0246,0.146
101,0.1349,-0.4685,0.0646
102,-0.5708,0.7534,0.4984
103,1.4886,1.2537,-0.7805
104,-1.4701,-0.8107,-1.4371
