"Item","dimension","a_primary","b1","b2","b3","b4"
"Item01","F1",1.372,-1.671,-1.436,0.466,0.806
"Item02","F1",1.35,-1.439,-0.988,0.103,0.811
"Item03","F1",1.838,-1.929,-1.763,1.08,1.369
"Item04","F1",1.319,-0.392,0.03,0.322,1.59
"Item05","F1",1.034,-0.973,-0.568,-0.407,-0.157
"Item06","F1",1.35,-1.479,0.365,1.251,1.828
"Item07","F1",1.73,-1.903,0.826,1.261,1.795
"Item08","F1",0.975,-1.048,-0.53,-0.211,0.362
"Item09","F2",1.192,-1.539,-0.679,-0.606,-0.353
"Item10","F2",1.108,-1.04,-0.03,0.275,0.814
"Item11","F2",1.376,0.062,0.552,1.389,1.473
"Item12","F2",1.038,-0.849,0.774,1.366,1.38
"Item13","F2",1.11,-0.766,0.055,0.632,0.711
"Item14","F2",1.064,-0.459,0.451,1.523,1.719
"Item15","F2",1.318,-0.472,-0.095,1.278,1.935
"Item16","F2",0.932,-1.537,-1.207,-0.659,0.341
"Item17","F3",1.453,-1.713,-0.784,1.573,1.898
"Item18","F3",1.737,-1.834,-1.015,1.007,1.956
"Item19","F3",1.619,-1.424,0.226,0.534,1.616
"Item20","F3",1.133,-0.039,0.538,1.04,1.619
"Item21","F3",1.874,-1.537,-0.839,0.408,0.711
"Item22","F3",1.102,-0.709,-0.605,1.188,1.879
"Item23","F3",0.962,-1.21,-0.802,-0.164,1.652
"Item24","F3",1.233,-1.905,-1.649,-0.148,1.924
