"Row","Theta"
1,-0.2641
2,0.0032
3,-0.7818
4,0.7143
5,0.8172
6,-0.5091
7,0.4963
8,-0.4458
9,-0.6898
10,0.9176
11,-1.9373
12,0.8922
13,1.2091
14,1.2621
15,1.3959
16,0.0362
17,-2.3125
18,0.6992
19,0.076
20,0.2467
21,-0.6849
22,0.6665
23,-0.9448
24,0.1472
25,1.5854
26,0.2125
27,1.0184
28,-1.5451
29,0.1257
30,0.0422
31,-1.8113
32,-0.2453
33,-0.8644
34,0.8957
35,-0.3047
36,-0.1115
37,-0.5741
38,-0.1224
39,0.1
40,1.3905
41,0.4892
42,-1.5627
43,1.3639
44,0.2866
45,-1.3728
46,-0.6464
47,-0.3841
48,0.1672
49,-0.7185
50,-0.2716
51,1.3495
52,0.8947
53,0.0226
54,-1.3358
55,0.5448
56,0.456
57,0.6194
58,-1.3784
59,2.1736
60,-0.039
61,0.7896
62,-0.3214
63,-0.2864
64,0.501
65,0.4883
66,-0.4956
67,0.1854
68,0.3142
69,1.6445
70,0.1724
71,-1.0518
72,0.5148
73,-0.3832
74,0.7313
75,0.0027
76,-1.3595
77,-0.9771
78,-0.626
79,-0.4643
80,0.7495
81,1.0356
82,1.5416
83,0.4936
84,1.5027
85,-1.0869
86,0.0234
87,1.0595
88,0.4143
89,0.1274
90,0.7624
91,2.018
92,0.0538
93,1.3609
94,0.1147
95,1.2568
96,0.8297
97,-1.3963
98,0.5513
99,0.8466
100,-0.6465
101,1.3408
102,0.905
103,-0.0379
104,0.6881
105,1.8966
106,-0.3632
107,-0.6796
108,1.11
109,1.1078
110,1.3968
111,0.0346
112,1.2956
113,-1.7438
114,-0.3239
115,1.0758
116,0.1776
117,-0.6131
118,0.3525
119,-0.0046
120,-0.0464
121,-1.7344
122,0.8597
123,-1.8331
124,-1.1706
125,-2.8935
126,0.7413
127,-0.573
128,0.2276
129,1.1819
130,0.8558
131,-0.4865
132,-0.0122
133,0.1141
134,-1.0099
135,-0.1155
136,0.7319
137,1.8539
138,1.5799
139,-1.6122
140,1.1356
141,1.3364
142,0.3091
143,-0.7665
144,-1.7653
145,-0.2897
146,-0.0642
147,-0.1458
148,-0.726
149,-0.437
150,-0.5365
151,0.9975
152,0.3506
153,0.4575
154,-0.5961
155,-0.9405
156,-1.1072
157,-0.5902
158,-0.8363
159,-0.6606
160,-2.7123
161,-0.0235
162,-0.8592
163,-0.2421
164,0.1808
165,-1.3508
166,-0.8733
167,0.2718
168,1.3263
169,-0.5549
170,0.2788
171,-1.3866
172,1.3381
173,0.0584
174,-0.3432
175,1.1557
176,-0.7206
177,1.1141
178,1.4187
179,1.8125
180,-0.2084
181,-0.1275
182,0.6388
183,0.46
184,-0.3008
185,0.8927
186,0.0339
187,-0.1195
188,-1.5433
189,-1.8365
190,1.6655
191,-2.4735
192,-0.3981
193,0.1495
194,-1.5694
195,0.8376
196,1.6355
197,-0.8594
198,1.4471
199,1.0062
200,-0.2845
201,0.5558
202,-1.5445
203,0.3437
204,0.4321
205,0.673
206,-0.188
207,0.3369
208,1.0958
209,-1.655
210,1.9459
211,-0.8521
212,-0.1048
213,1.3006
214,-0.6414
215,-0.0683
216,-0.6779
217,-1.3829
218,0.3306
219,0.7144
220,0.0651
221,0.4414
222,-0.5344
223,-0.5709
224,-0.541
225,0.1803
226,-0.9827
227,1.1882
228,1.7653
229,-1.2201
230,-1.4812
231,-2.2691
232,-0.443
233,0.8221
234,1.6502
235,0.2831
236,1.2337
237,-0.0608
238,0.5413
239,-0.2428
240,-0.2153
241,0.7176
242,-1.0513
243,1.3798
244,0.3596
245,1.5216
246,-0.1061
247,-0.1896
248,0.3681
249,1.1438
250,1.3553
251,0.0283
252,-0.5808
253,0.2884
254,0.2117
255,-0.8286
256,0.9112
257,0.5796
258,-2.017
259,0.8011
260,-0.3739
261,-1.7394
262,0.8
263,0.3598
264,-0.9591
265,1.1592
266,-1.6245
267,1.1323
268,-0.0696
269,0.753
270,0.6737
271,0.5445
272,-1.1801
273,-1.1935
274,-1.1892
275,-2.0464
276,-0.018
277,0.0596
278,-0.4642
279,0.3057
280,1.7125
281,-0.0025
282,-1.6845
283,1.3393
284,0.0024
285,0.4521
286,-0.0303
287,-0.4718
288,0.5595
289,-1.6741
290,-0.2791
291,-1.3417
292,-0.734
293,-0.009
294,0.7987
295,-1.6891
296,-0.5294
297,0.1151
298,0.1722
299,1.1408
300,-0.9239
301,1.47
302,-0.1096
303,-1.9182
304,-1.9381
305,1.2621
306,-0.0254
307,-0.0554
308,0.783
309,-0.3018
310,-0.7996
311,1.4987
312,-0.9657
313,-0.3098
314,-0.8854
315,-0.4754
316,-0.857
317,0.2741
318,-1.5677
319,1.4591
320,-1.3886
321,-1.3966
322,-0.5527
323,0.4109
324,-0.0458
325,-1.0706
326,0.1657
327,0.3728
328,-0.0239
329,0.8134
330,-0.2834
331,-2.8867
332,0.507
333,-0.9231
334,-0.0955
335,-1.2281
336,0.9004
337,-0.8662
338,-0.2396
339,0.0412
340,-0.4886
341,-1.3787
342,-0.5408
343,1.9803
344,-0.5333
345,-0.0503
346,-0.2175
347,-0.0847
348,0.8793
349,-0.6141
350,-0.6794
351,-0.7512
352,-0.1945
353,-0.1647
354,-0.305
355,-0.0453
356,-1.1973
357,1.2892
358,0.348
359,-1.6427
360,-0.7573
361,0.593
362,0.8579
363,-0.5445
364,-1.9914
365,-1.1709
366,-0.6205
367,1.194
368,0.3796
369,0.1566
370,-2.2287
371,0.9639
372,-0.0072
373,-2.0301
374,-1.6926
375,0.7486
376,-0.2326
377,0.3677
378,1.2822
379,0.2798
380,-0.2441
381,0.3802
382,-1.4014
383,-0.3349
384,-2.2491
385,-0.0282
386,-0.6756
387,-0.52
388,0.2928
389,0.3064
390,1.3055
391,0.4738
392,-1.8267
393,-0.0985
394,0.6082
395,1.297
396,0.3809
397,0.8163
398,-2.7009
399,-1.2796
400,-0.9384
401,0.8864
402,-1.1937
403,0.4051
404,-0.0405
405,0.9381
406,-1.4902
407,-0.6167
408,0.5804
409,2.5442
410,0.4353
411,1.2797
412,-0.6631
413,-1.1234
414,-2.1573
415,-1.1952
416,1.6397
417,-0.1872
418,-0.7841
419,0.5463
420,-2.2016
421,0.0448
422,-0.4434
423,1.7333
424,-0.4724
425,0.4305
426,0.5437
427,1.1426
428,0.3052
429,2.0249
430,-0.8287
431,-0.668
432,-0.3353
433,-1.3124
434,1.2276
435,1.6035
436,0.9839
437,-2.2948
438,-0.127
439,-0.8065
440,-1.4124
441,3.6058
442,1.3351
443,-0.594
444,1.4881
445,-1.1739
446,-1.1429
447,2.1851
448,0.9373
449,-0.6735
450,1.4426
451,-0.9853
452,1.5365
453,-0.3588
454,0.5812
455,1.5307
456,-0.9558
457,0.9239
458,0.7006
459,0.3731
460,-1.3715
461,-0.2735
462,-0.3807
463,-0.9962
464,-0.2614
465,0.0814
466,-0.9123
467,0.988
468,1.9266
469,1.3255
470,1.5894
471,0.8258
472,0.2097
473,0.8857
474,0.3618
475,0.2525
476,-0.2377
477,-0.5291
478,1.3663
479,1.4641
480,1.2387
481,-1.4724
482,-2.1419
483,2.4069
484,0.817
485,-0.2673
486,-0.7067
487,0.7957
488,-0.0225
489,-0.76
490,1.8531
491,0.1834
492,1.4254
493,-0.9939
494,0.4262
495,-1.3994
496,0.1379
497,-0.5355
498,0.5378
499,-0.1722
500,0.1029
501,-0.9779
502,1.2534
503,-1.2667
504,-0.3453
505,0.6884
506,0.9286
507,-0.4561
508,-1.1784
509,-0.5718
510,0.3331
511,-0.5138
512,1.0923
513,-0.0243
514,-0.3859
515,1.6387
516,-0.9899
517,-0.873
518,1.4127
519,-0.9783
520,0.4376
521,-0.2758
522,0.0806
523,-0.0733
524,2.0214
525,1.4807
526,0.9992
527,-0.6101
528,-2.6474
529,-1.275
530,0.5897
531,-2.8108
532,0.8762
533,0.7132
534,-0.1831
535,1.0027
536,-0.9077
537,1.4643
538,1.1731
539,0.2452
540,1.1004
541,0.1317
542,1.3736
543,0.0051
544,-0.8642
545,2.3186
546,-0.6897
547,-0.7428
548,-0.1346
549,-2.0517
550,0.6067
551,-1.6267
552,2.2521
553,0.1094
554,0.3021
555,-1.8292
556,-1.1177
557,1.0889
558,-0.0795
559,-1.3459
560,0.1722
561,0.7162
562,0.3303
563,0.2331
564,-0.2523
565,-0.875
566,0.9326
567,0.1273
568,-1.3583
569,0.5525
570,-0.0406
571,0.73
572,-0.6249
573,-0.4786
