"Item","a","b","c"
"Item01",1.556,-1.972,0.087
"Item02",1.531,-1.064,0.104
"Item03",1.1,1.218,0.234
"Item04",1.695,-0.837,0.132
"Item05",1.625,1.479,0.173
"Item06",1.926,1.497,0.127
"Item07",1.634,-0.488,0.242
"Item08",1.39,0.65,0.203
"Item09",1.919,-0.151,0.18
"Item10",0.913,-1.343,0.144
"Item11",0.83,-1.602,0.175
"Item12",0.932,1.7,0.22
"Item13",0.845,1.995,0.218
"Item14",1.375,-1.626,0.116
"Item15",1.068,0.223,0.147
"Item16",1.126,0.465,0.15
"Item17",1.939,1.11,0.176
"Item18",1.088,1.18,0.16
"Item19",0.945,-1.587,0.183
"Item20",0.918,-0.509,0.185
