"Row","F1","F2"
1,0.8037,1.9059
2,-0.1004,0.6586
3,0.3158,0.1579
4,-1.7234,-1.7078
5,-2.0103,-1.9868
6,-1.0587,1.5154
7,-0.8957,-0.3446
8,-0.7351,-0.6084
9,0.8548,1.1866
10,0.9008,-1.0482
11,-0.8801,-1.9002
12,0.5775,3.1684
13,2.5399,3.2604
14,1.1667,1.0694
15,0.3731,1.149
16,-0.3219,-1.4658
17,-0.2651,-0.0787
18,0.8644,1.2
19,-1.0039,-0.1308
20,0.2556,-0.0329
21,0.071,0.7138
22,-1.5711,-0.5274
23,0.1926,-0.7006
24,0.4025,0.4774
25,1.0154,-0.0093
26,0.4665,-1.312
27,0.6272,-0.3251
28,-1.6414,-0.5243
29,-1.9098,-1.2275
30,0.6645,-1.1962
31,0.6001,-0.5563
32,0.4568,0.1536
33,-2.6394,-1.8118
34,0.0125,0.7124
35,-0.1238,-1.6453
36,-0.0058,1.8844
37,0.1818,0.1694
38,-1.1946,-0.7798
39,0.0024,2.1055
40,-0.2519,-0.5144
41,-1.2155,-1.1996
42,0.7251,-0.8361
43,0.5682,0.0696
44,-0.2295,0.767
45,-1.3545,-1.3188
46,1.0489,1.6381
47,0.5719,-0.315
48,0.1625,0.5906
49,0.7556,0.4789
50,-1.9864,1.0207
51,-0.1945,0.1937
52,0.3513,0.9483
53,0.1937,-0.768
54,-0.1607,0.5965
55,-0.6286,1.4813
56,-0.0812,0.6018
57,1.0356,0.2018
58,1.4219,1.2079
59,0.9694,1.0709
60,0.807,0.6643
61,0.491,-0.1067
62,-0.0872,-0.045
63,-0.119,-1.9715
64,0.2813,-0.0686
65,0.4509,1.2432
66,-0.4438,0.717
67,1.2327,1.5835
68,-0.2739,-0.1283
69,0.4737,0.7785
70,-1.3509,-1.5794
71,0.9453,0.9011
72,0.2859,0.4175
73,0.8765,1.4065
74,-0.2275,0.598
75,-1.5051,-0.4326
76,0.4604,1.6416
77,-0.5887,0.7872
78,-1.1648,-0.153
79,-1.0118,-1.1816
80,-1.2532,-1.3657
81,-1.1179,-1.0877
82,0.4818,0.9128
83,-0.2387,1.3274
84,-0.2605,-0.433
85,0.5613,0.8486
86,0.9006,-0.2767
87,-0.3295,-0.3304
88,-2.3229,-0.0317
89,-0.9711,-1.9436
90,-0.4874,0.271
91,0.6207,1.4522
92,0.8998,0.8636
93,1.5707,0.438
94,2.6542,0.4062
95,0.3593,0.6009
96,-2.2854,-1.603
97,-0.3313,0.368
98,0.4473,0.0045
99,0.4707,0.7969
100,-1.2797,-0.0394
101,-0.2219,-0.4777
102,-0.2484,0.4918
103,-1.1579,-0.837
104,1.465,0.0576
105,0.5669,0.346
106,-1.09,-0.8528
107,0.1432,0.797
108,0.2357,-0.6561
109,-0.6466,-0.7702
110,-1.3199,-2.9506
111,0.7339,0.5045
112,-0.9159,-0.0752
113,0.1817,-1.501
114,2.0738,0.648
115,-0.9919,-0.8494
116,0.0725,-0.0357
117,-0.1288,-0.7339
118,-0.8659,0.6782
119,-0.7978,-0.4852
120,-1.5605,-0.5986
121,0.6169,0.166
122,0.2978,0.5575
123,1.6858,-0.3637
124,-0.0837,-0.1015
125,2.1032,2.0844
126,0.7636,0.8824
127,-0.1226,-0.5625
128,-0.9421,-0.4029
129,0.971,0.6925
130,0.9097,1.1697
131,0.0953,0.0695
132,0.0459,-0.2541
133,1.5088,-0.3566
134,-0.8373,0.1036
135,-0.2077,0.5538
136,1.2112,-0.3877
137,-0.0117,1.5635
138,0.6954,-0.1937
139,-1.6266,-2.2666
140,0.3117,0.5229
141,0.5644,0.4749
142,0.4652,0.6854
143,-1.2824,-1.911
144,6e-04,-0.4416
145,-0.3112,-0.9903
146,-0.3739,-0.2421
147,1.9541,0.9417
148,0.1932,0.0527
149,1.5694,-0.5488
150,-0.3697,-0.682
151,0.3111,-0.5103
152,0.302,-0.2773
153,-1.0791,-0.5467
154,-0.5428,-1.8842
155,-1.0725,0.1048
156,-0.4276,1.4547
157,0.8345,-0.3146
158,1.3044,0.0857
159,0.6679,-0.3944
160,0.4766,1.3171
161,-1.2304,1.0151
162,-0.8968,0.0021
163,-0.5634,0.2072
164,-0.201,-0.7202
165,-0.8002,-0.5453
166,0.8765,1.3672
167,-0.9384,-0.6823
168,-0.1295,0.1487
169,-0.9948,1.1766
170,-0.0073,-0.9396
171,-1.5381,-0.0097
172,0.1227,1.3979
173,-1.6269,-0.9444
