"Item","dimension","b","a_primary"
"Item01","F1",0.576,1.308
"Item02","F1",-0.349,1.371
"Item03","F1",0.137,1.151
"Item04","F1",1.432,1.758
"Item05","F1",1.529,1.684
"Item06","F1",0.055,1.479
"Item07","F1",0.226,1.922
"Item08","F1",0.008,1.839
"Item09","F1",-0.426,1.667
"Item10","F1",-1.538,0.979
"Item11","F2",-1.08,1.279
"Item12","F2",0.717,1.31
"Item13","F2",1.157,1.123
"Item14","F2",-0.477,1.332
"Item15","F2",-0.202,1.37
"Item16","F2",0.146,1.535
"Item17","F2",-1.511,0.974
"Item18","F2",0.725,1.789
"Item19","F2",-1.595,1.479
"Item20","F2",1.324,1.192
