"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15"
"P001",3,3,2,2,2,3,4,3,3,3,3,3,3,3,3
"P002",4,3,2,2,3,3,3,3,2,2,3,3,2,1,3
"P003",3,2,3,4,4,2,3,3,2,3,2,3,2,3,2
"P004",3,3,2,2,2,4,2,3,2,3,1,1,2,2,2
"P005",3,5,3,4,2,4,4,3,2,3,3,3,3,3,4
"P006",1,2,1,2,1,1,3,2,2,2,1,1,2,1,1
"P007",2,3,4,3,3,3,2,3,3,3,3,3,2,3,2
"P008",2,2,3,2,2,2,2,4,2,3,3,4,3,3,2
"P009",5,5,4,5,4,5,4,5,5,5,4,4,4,5,4
"P010",3,4,3,3,3,3,4,3,2,2,3,3,2,3,2
"P011",2,2,3,4,3,3,4,3,3,3,3,3,3,2,3
"P012",2,2,2,3,2,2,3,4,3,2,2,3,2,3,3
"P013",2,3,3,3,4,4,4,3,3,3,3,3,3,3,2
"P014",2,3,3,3,4,2,3,5,3,3,4,4,4,3,4
"P015",5,3,4,3,4,3,3,3,3,3,3,4,4,4,4
"P016",3,3,3,4,4,3,2,3,3,3,3,2,3,3,3
"P017",3,3,4,2,4,3,3,2,2,2,3,3,3,3,3
"P018",2,2,2,2,2,2,1,3,3,3,2,2,2,2,2
"P019",1,3,3,2,3,1,2,3,2,2,1,2,2,1,1
"P020",3,2,3,3,3,2,3,3,4,3,2,3,3,3,3
"P021",3,2,4,2,3,2,2,3,3,4,3,2,2,2,3
"P022",3,3,4,3,2,4,4,3,4,3,4,4,2,3,3
"P023",2,3,3,3,3,3,3,3,2,2,2,3,2,3,3
"P024",2,1,2,2,2,1,2,1,1,1,2,2,2,2,2
"P025",3,4,2,2,3,3,4,3,4,2,3,4,4,3,4
"P026",4,3,2,3,3,2,3,4,3,3,3,3,2,3,3
"P027",3,3,3,4,4,3,4,3,3,2,3,4,4,3,4
"P028",2,2,2,2,2,2,1,2,2,2,1,1,2,2,2
"P029",4,4,4,4,3,3,5,3,4,4,4,5,4,4,3
"P030",3,2,2,2,2,2,2,3,2,3,2,2,2,3,2
"P031",4,4,4,4,3,4,3,4,3,3,3,4,3,4,4
"P032",3,4,5,4,4,5,4,5,4,4,4,4,4,5,4
