"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20","attention_check","response_time_sec"
"P001",3,2,3,4,3,4,3,4,3,3,3,4,4,4,3,3,4,3,4,3,3,437
"P002",3,4,3,3,3,2,3,4,4,3,3,4,3,4,4,3,4,4,3,3,3,508
"P003",1,3,4,NA,2,3,NA,3,2,NA,3,NA,3,2,1,2,3,NA,2,NA,3,284
"P004",3,3,3,3,3,2,3,3,3,2,3,4,2,3,4,3,3,3,4,2,3,413
"P005",3,3,4,3,2,2,3,3,3,3,3,3,3,2,3,2,2,2,2,2,3,249
"P006",2,3,4,2,2,2,2,1,2,3,4,2,3,2,3,3,2,2,3,3,3,338
"P007",2,3,3,2,2,3,3,2,3,4,3,3,2,3,2,3,4,3,3,3,3,310
"P008",4,4,3,3,3,4,4,3,3,3,4,3,3,4,4,3,3,4,3,3,3,404
"P009",5,5,5,5,1,1,5,5,1,5,1,1,5,5,1,5,5,1,5,1,3,343
"P010",3,3,4,3,2,2,3,3,3,2,2,2,3,3,3,3,2,NA,3,3,4,37
"P011",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,249
"P012",2,3,3,3,3,3,3,2,2,3,3,2,2,2,1,2,3,2,3,3,3,299
"P013",2,2,3,4,4,2,4,3,3,2,2,2,4,2,2,2,2,2,3,2,3,230
"P014",3,3,2,3,3,3,3,3,2,4,4,2,2,3,1,3,4,2,4,3,3,38
"P015",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,9
"P016",3,2,4,2,3,3,2,3,2,3,4,2,2,2,3,1,2,2,2,4,3,221
"P017",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,284
"P018",3,4,3,3,3,4,4,3,4,3,3,4,3,3,2,3,3,4,5,3,3,303
"P019",2,2,3,3,1,3,2,2,3,1,3,3,2,3,2,2,3,2,3,3,2,324
"P020",4,4,1,4,4,3,4,4,4,3,1,4,3,3,3,4,5,3,4,3,3,413
"P021",2,2,4,3,2,3,3,3,3,2,4,3,3,2,3,2,1,3,4,3,3,14
"P022",1,2,4,2,2,1,2,2,2,2,5,2,1,2,2,3,2,2,1,2,3,200
"P023",3,3,3,3,2,3,3,4,2,3,4,3,3,3,4,4,3,2,3,3,3,384
"P024",3,3,4,3,3,2,3,3,2,2,4,2,3,3,4,2,3,3,3,2,3,17
"P025",4,4,2,3,3,4,4,3,3,3,2,4,3,3,4,3,4,4,4,3,3,351
"P026",1,1,1,5,5,5,5,5,5,5,5,1,1,5,1,1,5,5,1,1,3,110
"P027",3,3,3,3,3,4,3,2,3,3,4,4,3,3,4,2,3,4,4,2,3,346
"P028",3,3,2,2,3,2,3,3,2,3,3,2,2,2,2,2,3,4,2,3,4,504
"P029",4,3,3,3,4,3,3,3,3,4,3,3,3,2,4,4,3,1,3,3,3,365
"P030",2,3,4,2,2,2,3,2,3,2,2,2,4,3,3,2,2,2,1,3,3,14
"P031",3,2,3,2,4,3,3,2,4,3,4,3,3,4,3,4,3,2,3,4,3,264
"P032",2,2,4,2,2,2,2,3,2,2,4,2,1,2,3,2,2,3,2,2,3,385
"P033",3,4,3,4,3,4,3,3,4,4,3,3,4,3,3,2,3,3,3,3,3,202
"P034",4,3,3,4,3,2,3,4,2,4,3,3,3,4,3,3,2,3,4,2,3,432
"P035",4,4,4,3,3,3,4,3,NA,3,3,3,3,4,2,3,5,3,4,3,3,301
"P036",2,3,4,3,3,3,4,4,2,3,3,2,3,4,2,3,3,3,3,4,3,11
"P037",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,370
