"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","criterion","known_group"
"P001",3,3,2,3,3,3,4,4,3,3,4,1,2,3,4,3,0.54,1
"P002",3,2,3,3,3,3,3,2,1,2,3,3,4,3,2,3,-0.63,0
"P003",4,3,4,3,3,4,4,4,4,4,4,4,2,4,4,3,1.26,1
"P004",3,3,4,2,3,3,2,2,3,3,4,4,2,3,2,3,-0.09,0
"P005",1,3,1,1,4,3,1,2,2,2,2,1,5,1,2,2,0.46,0
"P006",3,3,4,4,3,4,4,4,3,4,2,4,3,3,3,2,0.51,1
"P007",2,2,3,1,3,3,1,3,3,3,2,2,4,2,2,2,-2.1,0
"P008",3,4,4,3,3,4,3,3,4,3,3,3,3,3,4,3,-0.09,1
"P009",3,2,2,3,4,2,3,3,2,2,2,2,4,2,2,3,-2.03,0
"P010",3,3,4,4,2,4,3,3,3,4,4,3,2,3,4,4,0.74,1
"P011",4,3,2,3,2,3,2,2,4,3,3,4,4,4,3,4,0.48,1
"P012",4,3,3,3,4,3,3,3,3,3,3,3,3,2,4,2,0.17,1
"P013",3,4,3,3,2,3,3,4,2,3,3,3,3,3,3,3,-0.65,1
"P014",2,2,1,2,4,1,2,4,3,2,2,2,4,4,2,3,-0.61,0
"P015",3,3,3,4,3,2,3,3,3,3,4,4,3,5,3,3,-0.68,1
"P016",3,3,2,3,3,3,3,3,3,3,3,2,3,2,2,2,-1.76,0
"P017",2,2,3,3,3,3,2,3,3,4,3,4,2,3,4,3,-0.2,0
"P018",4,4,4,3,2,4,4,4,4,4,4,4,2,4,5,5,1.88,1
"P019",2,3,2,3,3,3,2,3,2,2,2,1,4,2,4,3,0.12,0
"P020",3,3,3,4,2,3,4,3,2,3,3,3,3,3,3,3,0.39,1
"P021",2,3,4,4,4,2,3,2,2,3,1,3,3,2,2,3,-0.5,0
"P022",3,4,3,4,3,3,3,3,3,3,3,2,3,3,3,2,-0.64,1
"P023",3,4,4,3,3,4,3,3,2,3,3,3,3,3,4,3,-0.09,1
"P024",2,2,2,2,4,2,2,2,3,2,2,2,3,4,3,1,-0.71,0
"P025",3,3,4,4,3,4,3,4,4,3,2,3,4,2,3,3,0.2,1
"P026",3,3,3,4,3,2,3,3,3,4,3,4,1,3,4,3,-0.81,1
"P027",3,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,0.05,1
"P028",1,2,2,1,4,3,2,1,3,3,3,2,3,4,3,2,-1.3,0
"P029",3,2,2,3,4,2,2,2,2,4,3,3,3,1,3,2,-3.02,0
"P030",3,3,2,3,3,3,3,3,4,4,4,4,3,3,4,4,-1.02,1
"P031",3,3,3,2,4,3,2,4,3,3,3,3,3,2,2,2,-0.27,0
"P032",3,3,3,3,3,2,3,4,4,3,3,4,3,3,4,3,0.68,1
"P033",3,4,3,3,3,1,3,3,2,3,3,2,3,3,3,2,-0.34,0
"P034",2,4,2,3,3,3,3,3,3,3,1,3,3,3,3,3,-1.13,0
"P035",2,3,3,4,4,2,3,2,3,3,2,2,3,2,3,3,-0.3,0
"P036",3,3,4,3,3,3,3,3,3,2,2,2,3,2,2,2,0.49,0
"P037",3,2,2,2,4,2,3,3,2,2,3,2,4,2,2,3,-0.99,0
"P038",5,3,3,3,3,5,3,3,4,4,4,4,2,3,4,3,1,1
"P039",4,3,3,4,2,3,4,3,4,4,4,3,2,4,3,4,0.02,1
"P040",3,2,3,2,2,3,3,2,3,3,3,2,3,4,3,4,1.05,0
"P041",2,3,2,3,2,2,3,4,3,3,3,2,5,2,3,3,0.23,0
"P042",3,2,3,2,3,4,3,2,3,3,2,2,3,2,3,3,-1.84,0
"P043",5,3,2,3,3,3,3,2,4,4,3,3,3,3,3,3,0.87,1
"P044",3,3,2,4,3,4,3,4,4,3,3,2,3,3,2,3,0.82,1
"P045",3,3,3,3,2,3,3,3,2,3,2,2,3,2,3,3,1.41,0
"P046",3,3,3,2,3,4,3,2,3,3,4,3,3,4,3,3,0.13,1
"P047",3,4,3,3,3,4,3,3,4,3,4,3,2,4,4,4,0.4,1
"P048",4,4,5,4,1,4,4,3,4,4,4,3,2,4,4,3,0.15,1
"P049",3,3,2,2,4,3,3,2,3,2,2,3,3,3,2,3,-1.76,0
"P050",4,4,3,3,3,4,3,3,5,4,5,3,2,4,4,4,1.1,1
"P051",2,2,2,3,4,1,3,2,3,2,3,3,4,2,3,3,-0.03,0
"P052",3,2,3,4,4,2,3,2,4,3,2,4,2,2,3,2,0.84,0
"P053",4,3,4,4,3,3,3,4,3,4,3,4,3,4,4,3,1.71,1
"P054",3,3,4,3,4,3,2,2,3,3,3,3,3,3,4,3,0.2,1
"P055",3,2,3,3,3,2,2,2,3,4,4,3,3,3,4,3,-1.56,0
"P056",3,4,3,3,3,3,4,3,2,2,3,4,4,3,3,3,2.15,1
"P057",3,3,2,3,3,2,2,3,3,4,3,4,3,3,4,3,1.03,1
"P058",3,3,3,3,2,2,4,4,3,3,4,2,2,4,3,4,-0.69,1
"P059",2,2,3,3,3,2,2,3,4,5,3,4,1,4,5,4,-1.47,1
"P060",3,4,3,4,2,3,5,4,3,4,4,4,2,3,4,4,0.64,1
"P061",3,4,4,4,3,3,3,3,4,3,3,3,2,4,4,4,0.82,1
"P062",2,3,4,2,3,1,3,2,3,4,4,4,3,3,3,3,-0.05,0
"P063",3,2,3,2,4,2,3,2,3,2,3,3,3,3,2,4,-0.33,0
"P064",4,4,2,4,3,3,3,3,3,4,3,3,4,2,3,4,-0.18,1
"P065",3,3,3,3,4,3,4,2,2,3,2,3,4,2,1,2,-0.67,0
"P066",3,3,3,3,2,3,3,3,4,3,2,3,2,3,4,3,-1.45,0
"P067",2,1,3,3,3,2,2,3,3,2,2,3,3,2,2,3,-1.81,0
"P068",3,2,4,3,3,2,3,1,3,3,3,3,3,3,2,2,-0.68,0
"P069",4,3,3,2,3,3,3,3,3,4,3,3,3,3,3,2,-0.41,1
"P070",3,3,3,4,3,3,3,2,4,4,4,4,2,4,4,3,0.66,1
"P071",3,4,4,3,3,4,4,3,4,2,3,3,4,3,4,3,0.75,1
"P072",3,4,3,4,2,3,3,4,4,3,3,4,4,2,4,3,0.66,1
"P073",3,4,3,3,3,4,3,4,3,3,4,2,3,3,3,3,0.59,1
"P074",4,3,3,4,3,2,3,4,3,4,3,4,3,4,3,4,1.95,1
"P075",3,3,3,2,2,3,3,4,3,4,3,3,3,4,3,4,-0.3,1
"P076",2,2,2,3,4,2,3,3,3,3,2,2,4,3,2,3,-1.93,0
"P077",4,4,4,4,1,5,4,4,3,4,3,3,2,4,4,5,1.61,1
"P078",4,3,3,3,2,2,3,3,3,4,4,3,2,3,2,3,-0.23,0
"P079",4,4,2,4,3,4,3,3,4,3,4,4,2,4,4,4,2.23,1
"P080",3,4,3,3,2,4,3,3,2,3,3,4,3,3,3,4,0.58,1
"P081",4,4,4,3,2,4,3,4,3,3,3,3,3,2,3,3,-1.76,1
"P082",3,3,3,2,3,3,3,4,3,2,3,1,5,3,3,3,-0.54,0
"P083",3,2,4,4,3,4,3,3,3,2,4,2,3,4,1,3,-0.35,1
"P084",3,2,1,3,3,2,2,2,2,3,3,2,3,4,3,4,0.11,0
"P085",3,3,3,3,3,3,3,2,3,2,3,2,4,3,3,3,0.16,0
"P086",3,3,3,3,3,3,4,2,3,2,2,3,4,2,2,2,-1.79,0
"P087",3,3,4,3,2,3,4,3,3,3,3,4,3,4,3,3,-0.21,1
"P088",3,2,4,2,3,3,3,2,3,2,4,3,4,3,3,3,1.06,0
"P089",5,4,4,4,2,3,4,4,4,4,4,5,3,3,4,3,2.12,1
"P090",3,2,3,2,3,2,3,3,4,3,3,3,2,3,3,4,-2.53,0
"P091",2,3,3,4,3,3,3,2,3,3,4,4,2,3,4,3,0.17,1
"P092",2,3,2,3,4,3,3,3,2,2,2,3,2,3,2,2,-1.59,0
"P093",3,2,2,3,3,3,2,2,3,4,3,4,3,5,3,4,0.72,1
"P094",4,3,3,4,2,4,3,3,3,3,4,4,1,4,3,4,0.02,1
"P095",3,3,3,3,3,4,3,3,2,2,3,2,3,1,2,2,-0.38,0
"P096",4,3,3,3,3,3,3,3,3,4,4,4,2,4,4,3,0.31,1
"P097",4,4,3,3,1,5,3,4,3,3,4,4,4,3,4,4,0.83,1
"P098",1,3,2,2,5,2,1,2,4,3,4,4,2,4,4,5,-0.31,1
"P099",3,3,3,4,3,3,4,4,3,3,2,2,3,3,2,2,0.88,0
"P100",4,4,4,3,3,4,4,3,2,3,4,3,3,3,2,4,-0.29,1
"P101",3,5,4,4,3,4,4,4,3,3,3,4,3,3,4,4,1.1,1
"P102",3,2,3,3,4,2,2,3,3,2,3,3,3,3,3,3,-1.01,0
"P103",3,3,3,4,4,3,3,3,3,4,3,3,2,2,3,3,-0.14,1
"P104",3,3,3,3,3,3,3,3,3,2,2,2,3,2,1,2,0.54,0
"P105",3,3,3,3,2,4,3,3,4,4,3,4,3,4,3,3,0.78,1
"P106",3,2,3,3,3,3,3,4,4,3,3,3,2,3,3,2,-0.54,0
"P107",3,3,3,4,3,3,4,3,3,3,3,2,3,3,3,2,0.42,1
"P108",1,1,3,3,4,2,3,2,2,2,3,3,4,2,1,2,-0.83,0
"P109",1,2,3,2,3,2,2,4,4,4,2,3,3,3,4,3,-0.78,0
"P110",3,4,3,4,2,3,3,4,3,3,3,2,3,3,3,3,-0.6,1
"P111",4,4,4,3,1,3,4,4,4,3,4,3,2,3,3,4,1.7,1
"P112",2,2,1,3,4,1,2,2,3,3,3,3,3,3,2,3,1.41,0
"P113",3,2,2,2,3,3,2,2,2,2,2,2,3,2,3,1,-1.69,0
