"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18"
"P001",3,2,2,2,3,3,4,3,3,3,3,3,3,4,5,4,4,4
"P002",2,2,3,2,3,2,2,2,2,4,3,3,3,3,2,3,3,3
"P003",2,3,4,4,3,3,3,3,3,3,2,3,3,3,4,4,4,4
"P004",3,2,2,2,3,2,2,3,3,3,4,3,3,2,3,3,3,3
"P005",4,4,3,4,5,4,3,3,3,4,3,4,3,4,3,4,3,3
"P006",3,3,5,4,3,4,4,3,3,3,2,4,3,2,3,4,3,3
"P007",3,3,3,3,4,3,3,4,3,3,3,2,5,2,3,3,2,3
"P008",3,2,3,3,3,3,3,3,4,4,3,3,4,3,4,4,4,4
"P009",2,2,2,3,2,2,4,3,4,4,4,3,3,4,3,2,3,3
"P010",2,2,2,2,3,2,3,2,3,2,4,3,3,3,3,2,3,3
"P011",3,4,2,2,3,3,3,4,3,3,4,3,4,3,4,3,4,3
"P012",4,3,4,4,3,3,4,4,3,2,4,3,2,2,3,3,2,2
"P013",4,3,3,4,3,3,2,2,3,2,3,2,2,3,3,2,2,3
"P014",3,2,2,1,3,3,4,3,3,3,4,3,4,3,4,2,2,2
"P015",3,3,3,4,3,4,3,4,3,3,3,2,3,3,3,3,2,3
"P016",4,4,4,4,4,4,2,2,2,1,2,3,4,2,3,3,3,3
"P017",3,3,3,3,3,2,4,3,4,3,4,3,4,3,3,3,3,3
"P018",3,3,3,2,2,2,3,3,3,2,3,3,3,4,3,3,3,3
"P019",3,5,4,3,3,3,4,3,3,3,2,4,1,3,2,2,4,3
"P020",2,3,3,3,3,2,3,4,3,4,3,3,2,3,4,3,3,3
"P021",3,2,2,3,2,2,4,4,4,4,4,4,2,4,3,4,3,4
"P022",2,2,2,2,2,2,2,1,3,2,3,3,3,3,2,2,3,4
"P023",3,3,4,3,3,3,3,2,2,3,2,3,3,2,3,3,3,3
"P024",3,3,2,2,3,4,4,5,4,5,4,4,5,4,5,4,4,4
"P025",3,2,2,3,3,3,3,3,3,3,3,3,4,5,3,4,3,3
"P026",3,2,3,3,2,2,3,3,2,3,4,3,2,2,3,3,2,2
"P027",4,3,3,4,3,3,5,4,4,4,4,4,3,3,3,2,3,3
"P028",4,2,2,3,3,3,3,3,3,2,2,2,5,3,5,4,4,3
"P029",3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"P030",2,3,3,1,2,2,3,3,2,3,2,3,3,3,3,3,3,4
"P031",4,3,4,3,4,4,4,3,3,3,2,3,3,3,4,3,3,3
"P032",3,3,3,3,3,3,3,3,3,3,2,2,3,4,3,3,2,4
"P033",2,4,3,3,3,3,2,2,3,3,2,2,3,3,3,3,3,3
"P034",2,2,3,2,3,2,4,3,2,3,4,3,2,2,2,3,3,3
"P035",3,3,2,2,2,3,3,3,3,2,4,4,3,3,4,4,5,3
"P036",5,3,4,5,5,3,3,3,3,4,4,4,3,2,3,3,4,4
"P037",3,2,3,3,3,3,3,3,3,2,2,3,1,1,2,2,2,2
"P038",5,4,4,4,4,4,2,1,1,2,2,1,4,3,2,3,3,3
"P039",4,3,4,4,4,3,3,4,3,2,3,2,3,3,3,3,3,2
"P040",3,1,2,3,2,2,3,2,3,2,3,3,5,3,4,4,4,3
"P041",3,2,1,2,2,1,3,2,3,2,3,4,3,3,4,2,4,3
"P042",4,5,4,4,4,3,3,3,4,2,3,3,2,3,2,3,4,2
"P043",3,3,4,3,3,3,4,4,2,3,3,3,4,4,3,3,4,4
"P044",3,3,5,3,4,3,3,3,3,3,3,2,3,3,3,3,4,2
"P045",4,5,3,3,4,3,3,3,4,4,3,3,3,3,2,3,3,3
"P046",3,3,4,4,3,4,3,3,4,3,3,4,3,3,3,2,2,2
"P047",4,3,3,4,3,4,2,3,3,3,3,3,4,4,4,4,4,4
"P048",3,3,2,2,2,3,4,3,4,3,3,3,4,4,3,3,3,4
"P049",3,3,4,4,3,3,4,4,5,3,4,4,3,3,4,3,4,1
"P050",3,4,4,4,3,3,3,3,4,4,4,4,3,4,3,4,4,4
"P051",3,5,3,3,3,4,5,5,5,3,5,4,4,3,3,4,3,3
"P052",2,3,3,2,4,2,3,2,2,2,3,2,3,2,3,2,3,4
"P053",4,3,4,4,3,4,2,2,2,1,2,1,3,3,4,3,3,3
"P054",2,3,2,2,2,2,3,2,1,1,2,2,1,3,2,2,2,3
"P055",2,3,2,3,2,3,4,4,4,3,4,3,4,5,3,5,4,4
"P056",3,4,3,2,4,4,4,4,4,3,3,3,4,3,3,4,3,4
"P057",3,2,3,4,3,3,3,3,3,4,3,4,3,5,4,4,4,4
"P058",2,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,4,2
"P059",4,4,3,3,3,3,4,4,3,4,3,3,2,2,2,2,3,3
"P060",3,4,3,4,4,3,3,4,3,3,4,5,3,3,3,3,3,3
"P061",3,4,3,3,2,3,3,3,2,2,3,3,4,3,3,3,3,3
"P062",2,2,1,1,1,2,3,3,4,3,4,3,3,3,2,3,2,2
"P063",2,2,3,4,3,2,3,4,4,3,3,4,4,4,2,4,4,5
"P064",3,3,4,3,4,3,4,4,4,5,4,4,3,3,3,2,2,3
"P065",2,2,2,2,1,2,4,4,4,3,3,4,3,4,3,4,3,3
"P066",1,2,1,2,1,2,3,3,3,3,3,4,3,3,4,3,4,3
"P067",2,3,2,2,2,3,3,3,3,4,4,2,4,4,3,3,3,3
"P068",4,5,4,4,4,4,2,3,3,4,3,2,3,3,3,3,2,3
"P069",4,4,3,3,3,4,3,3,3,3,4,2,3,2,4,3,4,4
"P070",4,3,3,4,4,4,2,2,1,2,2,2,4,3,2,3,3,3
"P071",3,3,3,2,3,3,2,3,4,2,2,3,3,4,2,2,3,3
"P072",4,4,4,4,4,3,3,3,4,3,3,2,3,4,4,3,3,4
"P073",3,3,4,3,3,3,1,2,1,3,2,2,2,2,1,1,2,2
"P074",3,3,3,3,3,2,3,1,2,1,2,2,4,4,4,5,3,4
"P075",4,3,3,3,3,3,3,2,3,3,3,2,3,4,3,2,3,4
"P076",4,3,4,4,4,4,3,2,3,3,2,2,4,4,2,4,4,3
"P077",3,3,2,2,3,2,4,4,4,4,3,3,3,4,4,4,5,3
"P078",2,3,3,3,3,4,3,3,4,4,2,2,3,3,3,3,3,4
"P079",2,3,2,4,3,2,3,2,4,4,3,3,3,3,3,3,3,2
"P080",3,4,4,3,3,3,3,4,4,4,5,2,4,3,3,2,2,4
"P081",3,2,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3
"P082",4,4,3,4,3,3,2,1,3,3,2,3,3,2,3,3,3,3
"P083",3,3,3,3,3,4,2,3,1,1,2,1,4,4,2,4,4,3
"P084",3,2,2,2,3,3,3,3,4,3,4,4,3,2,4,4,3,4
"P085",2,2,2,2,3,2,3,4,3,4,3,2,2,3,3,2,3,3
"P086",2,3,3,3,3,2,4,4,3,3,3,5,3,3,3,3,3,3
"P087",2,2,3,3,2,3,4,5,4,4,3,3,3,3,4,4,4,3
"P088",4,4,4,4,4,4,3,3,3,2,3,3,3,4,4,2,3,3
"P089",3,4,3,3,3,3,2,2,3,2,2,2,3,3,2,2,3,2
"P090",3,3,4,4,4,3,3,3,3,4,2,3,3,4,4,5,4,4
"P091",4,3,3,2,3,3,3,3,2,2,2,3,3,1,3,3,3,1
"P092",3,4,3,2,3,3,3,3,3,3,3,3,1,2,2,1,2,2
"P093",3,2,3,3,2,3,3,3,4,2,4,4,1,2,2,2,2,2
"P094",3,3,2,3,3,3,3,4,4,4,4,3,3,3,3,3,3,4
"P095",2,3,2,2,4,3,4,2,2,2,2,3,4,4,4,4,4,3
"P096",4,3,2,3,4,2,3,3,4,2,4,3,3,3,3,4,3,3
"P097",3,2,3,3,3,4,4,2,4,3,4,4,3,2,2,2,2,4
"P098",3,3,4,3,3,2,3,3,3,3,2,3,2,4,3,2,3,4
"P099",3,3,3,3,3,3,3,3,3,3,4,2,4,3,3,3,3,3
"P100",2,1,1,2,1,3,2,1,2,2,2,1,4,4,4,4,4,3
"P101",3,3,3,4,4,4,3,3,3,3,4,3,3,3,4,4,4,3
"P102",2,2,4,4,4,3,3,3,4,3,3,3,3,3,4,3,3,2
"P103",4,4,4,4,3,4,2,3,3,3,3,2,3,3,2,3,3,4
"P104",3,3,4,2,3,4,3,4,4,5,4,3,2,3,2,2,3,3
"P105",3,3,3,2,3,4,3,3,3,3,3,3,3,2,3,3,2,3
"P106",4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3
"P107",2,2,2,3,2,2,2,2,3,4,2,2,4,3,3,4,3,3
"P108",4,3,4,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2
"P109",3,3,3,3,4,2,5,4,4,3,3,2,3,4,3,3,2,3
"P110",3,4,4,3,4,3,2,2,2,2,2,3,4,3,3,4,3,4
"P111",3,4,3,4,5,4,2,2,2,2,2,2,3,4,4,4,2,2
"P112",3,4,4,3,4,4,3,4,3,3,3,3,4,3,4,3,3,2
"P113",2,3,2,4,3,3,3,3,3,3,3,3,4,2,3,3,2,3
"P114",2,3,2,3,2,2,2,3,3,3,2,4,1,3,3,3,3,3
"P115",4,4,4,3,3,4,3,3,3,2,3,4,3,3,3,2,3,4
"P116",2,2,1,2,2,2,3,3,3,4,2,3,2,3,2,2,2,3
"P117",1,4,2,2,3,3,4,2,4,4,3,3,2,3,3,2,2,2
"P118",3,2,2,3,2,4,4,4,5,3,4,4,3,3,3,2,4,3
"P119",4,3,3,4,4,4,3,2,2,3,3,2,4,4,4,3,4,4
"P120",2,3,2,3,2,3,3,3,3,4,4,4,3,3,4,3,3,3
"P121",4,4,4,3,3,3,4,3,4,4,3,3,3,3,3,3,4,3
"P122",3,4,4,4,4,4,4,4,3,3,4,4,3,3,2,3,3,2
"P123",4,2,3,3,3,2,3,3,3,3,3,3,2,3,4,4,2,3
"P124",3,2,2,2,3,2,3,3,2,1,3,3,3,4,3,3,3,3
"P125",3,2,3,4,3,3,3,4,4,2,3,4,2,3,2,2,3,3
"P126",3,3,2,4,3,4,3,2,1,1,2,3,2,3,3,2,2,3
"P127",4,3,4,4,4,4,3,3,3,3,3,5,4,3,4,3,4,3
"P128",3,3,3,4,4,2,4,4,4,5,4,3,3,3,4,3,4,3
"P129",3,3,2,3,2,3,2,2,3,4,4,3,3,3,4,3,3,4
"P130",1,2,1,2,1,1,4,4,4,4,5,4,5,3,4,5,4,4
"P131",3,3,3,2,2,2,5,4,4,3,3,3,4,5,3,4,4,3
"P132",2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,3,3,3
"P133",3,2,3,3,3,3,4,5,4,4,3,4,4,4,3,4,3,2
"P134",3,3,4,3,2,2,4,3,3,3,3,4,3,3,3,3,2,4
"P135",3,2,3,1,3,3,3,3,2,3,2,3,2,3,2,3,2,2
"P136",2,3,3,3,3,3,3,3,5,3,5,3,3,4,2,3,3,3
"P137",3,3,4,4,4,3,3,3,3,4,3,2,3,4,3,2,3,4
"P138",3,2,2,2,2,4,3,2,2,2,3,3,3,3,2,3,2,3
"P139",4,2,4,4,4,4,4,2,3,4,3,3,2,4,4,3,3,4
"P140",3,4,2,4,4,3,3,3,3,3,2,2,3,2,2,3,3,3
"P141",3,3,3,4,2,3,4,3,2,2,3,3,4,3,4,3,4,2
"P142",3,4,4,4,3,4,3,3,2,3,3,3,4,4,5,4,4,4
"P143",4,3,4,5,4,4,4,3,4,3,3,3,2,2,2,3,2,2
"P144",4,3,4,3,4,4,4,3,3,4,3,4,1,3,2,2,1,3
"P145",3,3,4,4,3,4,3,3,3,3,3,2,5,4,4,5,4,5
"P146",2,3,2,3,2,2,4,3,2,3,3,3,2,2,2,3,2,2
"P147",2,2,3,3,3,3,3,2,2,2,2,3,3,4,4,2,2,3
