"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12"
"P001",2,2,2,2,3,3,3,2,2,3,3,2
"P002",4,4,3,4,3,3,4,3,4,4,4,3
"P003",3,2,3,3,3,3,4,4,3,2,3,2
"P004",4,3,3,4,5,4,2,2,2,3,4,3
"P005",3,3,3,3,3,2,4,3,3,2,3,3
"P006",3,4,2,3,2,3,3,3,4,2,3,4
"P007",3,3,3,1,3,3,2,3,4,3,3,3
"P008",3,4,3,3,3,3,3,3,3,4,3,3
"P009",3,4,3,4,4,3,3,4,3,3,3,4
"P010",2,1,3,3,4,3,3,3,3,2,3,3
"P011",4,4,3,3,4,4,4,3,3,3,3,3
"P012",3,2,3,3,2,2,2,2,2,4,2,3
"P013",4,2,3,2,4,3,3,3,2,4,5,2
"P014",2,3,2,2,3,4,2,3,4,3,3,3
"P015",3,3,3,3,2,4,4,3,2,3,2,3
"P016",2,2,3,3,3,3,3,2,5,3,2,4
"P017",2,4,3,2,3,4,2,3,2,3,3,3
"P018",2,2,2,2,2,1,3,3,1,4,1,2
"P019",1,3,2,2,3,3,3,3,2,3,5,2
"P020",3,4,3,3,2,3,4,3,3,3,3,4
"P021",2,3,2,3,3,2,3,2,2,4,3,3
"P022",4,4,3,4,4,4,3,5,4,3,4,3
"P023",4,3,3,3,3,2,2,3,3,3,3,4
"P024",2,3,2,2,3,2,1,3,1,2,3,3
"P025",3,3,2,3,3,2,2,4,3,4,4,3
"P026",2,3,3,2,2,2,2,3,4,3,2,3
"P027",2,3,2,3,3,2,4,2,3,3,3,3
"P028",3,2,1,2,3,3,2,4,3,2,3,3
"P029",3,3,2,4,3,3,3,4,3,4,3,3
"P030",3,3,3,4,3,3,4,3,3,3,3,2
"P031",2,4,3,3,4,3,4,2,4,2,3,3
"P032",3,2,2,3,3,2,4,3,3,3,3,4
"P033",4,4,4,4,3,4,2,4,3,3,3,3
"P034",3,3,3,3,3,3,3,2,4,2,4,4
"P035",4,4,4,5,5,5,4,3,4,2,3,4
"P036",3,3,2,2,3,3,3,3,3,3,4,2
"P037",3,3,4,4,4,3,4,3,3,3,2,3
"P038",2,2,2,2,2,2,2,3,1,4,2,3
"P039",4,3,3,2,2,3,4,2,3,3,3,2
"P040",3,3,2,3,2,3,3,3,3,4,2,2
"P041",3,3,3,3,3,3,3,3,3,4,2,1
"P042",3,4,4,4,5,3,4,3,3,3,4,3
"P043",3,2,2,2,2,3,2,3,2,1,3,2
"P044",1,3,3,3,3,3,3,3,4,3,3,2
"P045",4,3,4,3,3,3,2,3,2,4,3,2
"P046",4,3,3,3,3,3,2,3,2,2,2,4
"P047",4,3,3,4,3,4,2,3,3,3,2,3
"P048",4,3,2,3,2,2,2,3,3,2,4,3
"P049",3,4,3,3,3,4,3,2,2,3,3,4
"P050",4,5,3,4,3,4,4,3,3,3,2,4
"P051",4,3,3,3,3,3,3,3,3,4,4,3
"P052",4,4,3,4,3,2,3,3,4,3,3,3
"P053",3,3,3,4,4,4,5,3,3,4,5,4
"P054",3,4,3,3,4,3,2,2,4,3,3,3
"P055",3,1,2,3,2,1,3,2,3,2,2,3
"P056",3,3,2,3,3,3,2,4,3,4,4,3
"P057",4,4,3,3,3,4,3,3,2,3,3,3
"P058",3,3,4,4,4,3,2,3,2,4,4,3
"P059",3,3,2,4,2,3,3,3,3,3,4,2
