"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10"
"P001",3,3,2,2,3,2,4,3,2,3
"P002",2,3,3,3,3,2,3,4,3,3
"P003",3,3,3,2,3,3,2,2,3,3
"P004",2,4,4,3,2,3,4,3,3,3
"P005",3,3,4,4,3,3,3,4,4,3
"P006",2,4,2,3,2,3,3,2,3,3
"P007",3,3,2,2,3,2,2,3,2,3
"P008",3,2,3,4,4,3,3,4,3,3
"P009",4,3,3,3,4,2,3,3,4,3
"P010",3,4,2,3,3,4,4,3,3,3
"P011",2,3,4,3,3,3,3,2,4,3
"P012",3,4,4,3,3,3,3,4,4,3
"P013",3,3,4,4,3,4,4,3,4,3
"P014",2,3,3,2,2,3,2,2,2,3
"P015",3,2,3,3,3,2,3,3,3,3
"P016",2,2,2,2,3,3,3,2,3,3
"P017",3,4,3,4,2,3,4,3,4,3
"P018",3,3,3,1,1,3,3,3,4,3
"P019",4,4,4,4,3,4,4,3,3,3
"P020",2,3,2,4,4,3,3,2,2,3
"P021",3,3,3,2,2,5,3,4,4,3
"P022",3,3,3,4,3,3,3,2,3,3
"P023",3,2,3,3,3,2,2,2,2,3
"P024",4,5,3,3,3,4,3,3,3,3
"P025",4,4,3,5,4,4,3,5,4,3
"P026",4,3,2,3,3,2,3,2,3,3
"P027",3,4,4,5,4,4,5,5,5,3
"P028",3,3,3,2,3,3,3,1,3,3
"P029",3,3,5,4,3,4,4,4,3,3
"P030",4,3,3,3,3,3,3,2,3,3
"P031",3,3,2,3,3,2,2,2,2,3
"P032",3,4,2,3,4,4,4,2,3,3
"P033",3,3,4,4,4,4,4,4,3,3
"P034",2,3,3,3,3,2,2,3,3,3
"P035",4,4,3,3,3,3,3,3,3,3
"P036",4,5,4,4,4,4,3,4,3,3
"P037",3,3,4,3,3,3,4,4,4,3
"P038",4,3,3,4,3,3,4,4,4,3
"P039",2,3,5,3,2,3,3,3,3,3
"P040",3,3,3,3,4,4,2,2,4,3
"P041",3,4,3,3,3,4,3,4,2,3
"P042",1,3,2,3,2,2,2,2,3,3
"P043",3,4,3,4,2,3,3,2,3,3
"P044",3,4,3,3,2,3,3,4,3,3
"P045",2,3,2,3,3,2,2,4,3,3
"P046",4,4,4,3,3,3,3,2,3,3
"P047",4,4,4,3,4,4,4,5,5,3
"P048",4,2,4,3,3,3,4,3,3,3
"P049",5,3,2,5,4,3,5,2,4,3
"P050",3,3,3,2,2,3,3,2,2,3
"P051",3,2,2,3,2,2,4,3,3,3
"P052",3,3,4,3,3,3,5,3,3,3
"P053",3,3,3,4,4,3,4,3,4,3
"P054",3,2,3,4,4,3,3,2,3,3
"P055",4,3,3,3,3,4,3,2,3,3
"P056",2,3,3,3,2,2,3,3,2,3
"P057",3,3,3,3,3,3,3,3,3,3
"P058",3,2,3,3,2,3,2,2,3,3
"P059",3,3,3,3,3,2,3,4,3,3
"P060",3,4,2,3,4,4,4,4,4,3
"P061",3,3,3,4,3,3,3,2,2,3
"P062",5,3,3,3,4,5,3,3,3,3
"P063",4,4,5,4,3,4,4,3,4,3
"P064",3,3,4,2,2,3,3,3,3,3
"P065",3,2,4,2,3,2,3,3,2,3
"P066",4,4,5,4,4,4,3,3,4,3
"P067",1,2,2,2,2,1,2,2,1,3
"P068",2,1,3,2,1,2,2,2,1,3
"P069",3,3,3,3,4,3,3,4,3,3
"P070",2,2,1,2,2,4,4,3,1,3
"P071",3,2,3,3,2,2,3,3,2,3
"P072",3,4,2,3,4,3,4,3,4,3
"P073",3,3,3,2,3,3,2,4,3,3
"P074",3,4,4,3,4,4,3,2,3,3
"P075",3,4,4,4,3,2,4,4,3,3
"P076",3,4,4,3,3,2,2,3,3,3
"P077",4,4,4,3,2,4,4,5,3,3
"P078",4,2,2,3,3,2,3,3,2,3
"P079",3,4,4,5,4,4,4,4,4,3
"P080",3,3,2,3,4,4,2,3,3,3
"P081",4,4,3,4,4,4,3,5,4,3
"P082",3,3,4,3,2,2,2,3,2,3
"P083",3,1,3,3,3,2,2,3,3,3
"P084",2,3,3,2,2,2,3,3,2,3
"P085",4,3,2,4,2,3,3,4,4,3
"P086",4,4,4,3,5,4,4,4,5,3
"P087",3,3,4,5,3,3,3,4,3,3
"P088",2,2,3,4,2,3,3,2,2,3
"P089",3,4,3,3,3,3,2,4,2,3
"P090",3,3,3,3,4,3,3,4,4,3
"P091",3,2,4,4,4,3,4,3,3,3
"P092",4,4,3,4,5,4,4,4,4,3
"P093",4,2,3,2,2,1,3,2,3,3
"P094",2,3,2,4,3,3,3,3,3,3
"P095",4,3,4,4,4,4,2,3,4,3
"P096",4,3,4,3,4,4,4,2,3,3
"P097",5,5,4,5,4,4,4,4,5,3
"P098",3,4,2,2,2,3,2,3,2,3
"P099",3,3,3,3,3,3,3,3,4,3
"P100",3,5,5,4,4,4,4,3,3,3
"P101",3,4,3,3,3,4,3,2,3,3
"P102",3,3,1,2,2,3,4,3,3,3
"P103",3,2,2,3,2,2,2,2,3,3
"P104",3,3,4,3,4,3,3,3,3,3
"P105",4,3,4,4,4,4,4,3,4,3
"P106",3,3,3,4,4,3,3,3,3,3
"P107",1,3,3,4,3,4,3,4,4,3
"P108",4,4,4,3,4,3,4,4,2,3
"P109",2,2,2,3,3,4,5,3,2,3
"P110",3,2,3,3,2,3,3,3,3,3
"P111",2,3,2,1,2,2,2,3,3,3
"P112",4,3,4,3,3,4,4,3,3,3
"P113",2,3,2,4,4,3,2,3,4,3
"P114",1,2,2,3,3,3,3,2,2,3
"P115",3,2,3,3,4,3,3,2,2,3
"P116",3,4,4,4,5,4,4,5,5,3
"P117",4,3,3,4,4,3,3,3,4,3
"P118",3,3,4,4,1,3,4,4,2,3
"P119",4,5,4,3,5,5,3,4,4,3
"P120",4,3,3,4,4,3,4,3,4,3
