"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10"
"P001",2,2,2,2,1,2,2,2,2,1
"P002",1,2,1,2,2,1,1,1,1,2
"P003",2,3,2,2,3,2,3,2,2,3
"P004",3,2,1,2,1,2,2,2,3,2
"P005",2,2,1,2,1,2,1,2,1,2
"P006",3,3,3,2,2,3,2,2,3,2
"P007",2,2,2,2,2,1,1,1,2,2
"P008",2,1,1,1,1,1,2,1,3,3
"P009",1,2,1,2,1,2,2,1,2,2
"P010",3,4,3,3,4,3,3,3,3,2
"P011",2,2,2,1,2,3,1,2,2,1
"P012",1,2,2,2,2,1,1,2,2,2
"P013",3,2,3,2,3,3,3,2,3,3
"P014",4,2,2,3,3,2,2,1,2,2
"P015",2,1,2,3,3,2,2,2,3,2
"P016",2,2,3,2,1,3,2,2,2,1
"P017",1,1,2,2,1,1,2,2,1,2
"P018",2,2,3,3,3,2,1,1,1,2
"P019",3,1,1,2,2,2,2,2,2,2
"P020",4,3,2,3,3,3,2,4,4,4
"P021",1,2,1,1,2,2,1,3,2,1
"P022",3,3,3,3,3,3,3,2,3,2
"P023",2,2,2,2,2,2,2,1,2,3
"P024",1,1,1,1,1,1,1,0,1,0
"P025",2,3,2,2,2,2,2,2,2,3
"P026",1,1,3,3,2,2,2,2,3,2
"P027",2,2,1,2,3,2,2,2,2,2
"P028",1,3,1,3,1,2,1,2,2,2
"P029",3,2,3,3,1,1,2,2,2,1
"P030",0,1,2,1,2,0,2,2,2,1
"P031",3,2,3,3,2,3,4,2,3,3
"P032",3,3,3,3,2,3,3,2,2,2
"P033",2,3,2,3,3,2,3,3,4,4
"P034",2,3,2,3,3,3,2,2,3,2
"P035",0,1,1,2,2,1,2,2,2,3
"P036",3,3,2,3,3,4,2,2,2,3
"P037",2,1,2,2,1,2,2,1,3,2
"P038",3,2,3,0,2,3,3,3,3,3
"P039",2,2,3,3,2,2,2,2,3,3
"P040",1,0,2,2,3,3,3,3,3,2
"P041",2,2,2,0,2,2,2,1,2,2
"P042",1,1,1,0,1,1,1,2,1,1
"P043",2,3,2,2,3,3,1,2,4,2
"P044",3,1,2,2,2,3,3,3,2,3
"P045",3,2,2,2,3,2,1,3,2,2
"P046",3,2,2,2,3,2,3,4,1,1
"P047",2,2,2,2,2,2,2,2,3,2
"P048",1,1,2,1,2,3,1,2,2,1
"P049",3,1,2,2,1,2,1,2,3,2
"P050",3,3,2,2,3,2,2,3,2,1
"P051",3,2,3,3,3,3,3,2,2,3
"P052",3,2,2,2,2,1,3,2,2,2
"P053",3,3,1,1,2,2,4,1,3,2
"P054",2,2,1,1,2,2,2,2,3,2
"P055",1,1,1,2,2,1,2,2,2,2
"P056",1,3,2,2,2,2,2,4,3,2
"P057",2,2,3,2,2,3,2,4,2,2
"P058",2,3,2,3,3,2,2,4,3,2
"P059",2,3,1,1,2,1,1,2,1,1
"P060",3,3,2,3,3,2,2,1,3,3
"P061",2,3,2,3,3,3,2,3,2,4
"P062",1,2,1,0,1,2,0,1,2,1
"P063",1,0,2,2,1,2,2,1,3,1
"P064",3,2,2,1,2,2,3,1,1,2
"P065",2,2,2,2,2,2,2,2,2,3
"P066",3,2,1,3,2,3,2,3,4,3
"P067",2,2,1,2,2,2,2,3,2,2
"P068",2,2,2,1,1,2,1,2,2,1
"P069",2,2,2,2,2,2,1,1,2,2
"P070",3,2,2,2,2,1,2,2,2,3
"P071",3,3,3,2,3,2,2,2,2,2
"P072",2,1,1,1,2,1,0,0,1,1
"P073",1,2,2,2,3,2,2,2,3,2
"P074",2,3,3,3,2,3,2,2,3,2
"P075",1,1,1,1,2,2,2,0,1,1
"P076",2,2,2,1,1,2,1,1,2,2
"P077",2,1,1,1,2,3,1,2,2,2
"P078",1,0,1,2,1,1,2,2,0,2
"P079",3,2,2,2,2,3,1,2,2,2
"P080",3,3,3,2,2,1,2,3,1,1
"P081",1,3,1,1,2,1,2,1,2,1
"P082",2,2,2,2,1,2,2,3,2,2
"P083",2,3,2,3,2,2,2,2,2,2
"P084",2,2,3,2,2,2,1,2,2,1
"P085",1,2,2,3,1,3,2,1,2,2
"P086",2,3,2,1,2,2,2,0,3,2
"P087",2,1,3,3,2,2,2,2,2,1
"P088",3,2,2,2,2,4,3,2,3,3
"P089",3,2,2,2,3,3,2,2,2,3
"P090",4,2,2,1,3,3,2,3,2,2
"P091",1,2,2,2,3,2,2,2,3,3
"P092",3,2,2,2,2,2,1,2,1,3
"P093",2,3,2,2,3,3,3,1,3,2
"P094",3,2,3,2,2,1,3,2,1,1
"P095",1,1,2,2,2,1,1,2,3,2
"P096",1,2,2,3,2,3,1,2,1,2
"P097",3,3,3,2,3,2,2,2,2,2
"P098",2,3,2,2,2,2,2,2,2,2
"P099",2,2,1,1,2,2,1,2,2,1
"P100",2,3,2,0,1,2,1,1,1,1
"P101",3,3,4,3,3,3,4,3,3,3
"P102",2,2,2,1,1,2,2,2,1,2
"P103",2,2,2,2,2,3,2,2,2,2
"P104",2,2,1,2,1,2,2,1,2,2
"P105",2,1,2,3,2,2,3,2,3,2
"P106",1,1,2,1,2,2,1,2,1,1
"P107",3,2,3,2,3,2,2,2,2,3
"P108",2,1,2,1,2,2,2,2,2,3
"P109",3,2,3,3,3,3,2,3,3,3
"P110",1,1,3,3,2,3,2,2,2,1
