"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"P001",1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0
"P002",1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0
"P003",1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P004",1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"P005",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0
"P006",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"P007",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"P008",1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
"P009",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"P010",1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"P011",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"P012",1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"P013",1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
"P014",1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0
"P015",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"P016",1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1
"P017",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P018",1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0
"P019",1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"P020",1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0
"P021",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"P022",1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"P023",1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"P024",1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"P025",0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0
"P026",1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"P027",1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1
"P028",1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1
"P029",1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0
"P030",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"P031",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"P032",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1
"P033",1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
"P034",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0
"P035",1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0
"P036",1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0
"P037",1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1
"P038",1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"P039",1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1
"P040",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"P041",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P042",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0
"P043",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"P044",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
"P045",1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0
"P046",1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"P047",1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0
"P048",1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0
"P049",1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1
"P050",1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1
"P051",1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"P052",0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0
"P053",1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0
"P054",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0
"P055",1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0
"P056",1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"P057",1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0
"P058",0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
"P059",1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0
"P060",0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"P061",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"P062",1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"P063",1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0
"P064",1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1
"P065",0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0
"P066",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"P067",1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
