"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"P001",1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1
"P002",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0
"P003",1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
"P004",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
"P005",1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"P006",0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
"P007",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
"P008",0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
"P009",1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"P010",1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0
"P011",1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0
"P012",0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"P013",1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1
"P014",1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0
"P015",1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1
"P016",0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0
"P017",1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1
"P018",0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1
"P019",0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1
"P020",0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0
"P021",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
"P022",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"P023",1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1
"P024",1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1
"P025",1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1
"P026",1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0
"P027",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
"P028",1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1
"P029",1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0
"P030",1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0
"P031",0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0
"P032",1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0
"P033",1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"P034",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1
"P035",1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0
"P036",0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0
"P037",1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0
"P038",0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0
"P039",1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1
"P040",0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0
"P041",0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
"P042",1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0
"P043",1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1
"P044",1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0
"P045",1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0
"P046",1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0
"P047",1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1
"P048",1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
"P049",0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0
"P050",1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0
"P051",0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0
"P052",1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"P053",1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0
"P054",0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"P055",0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1
"P056",1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1
"P057",1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1
"P058",1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0
"P059",1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1
"P060",1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0
"P061",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"P062",1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
"P063",1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0
"P064",1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"P065",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"P066",1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
"P067",1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0
"P068",1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"P069",1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
"P070",1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0
"P071",0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1
"P072",1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0
"P073",1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
"P074",1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1
"P075",1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1
