"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15"
"P001",5,1,2,5,1,3,1,5,5,3,1,5,5,1,1
"P002",1,2,5,4,4,5,5,5,5,5,2,5,4,1,2
"P003",5,1,5,5,4,1,5,5,5,5,1,5,3,3,5
"P004",1,1,5,2,1,5,1,3,4,3,2,1,1,3,3
"P005",5,5,5,3,4,5,5,5,5,5,1,5,5,5,1
"P006",5,5,2,2,5,5,5,5,5,5,5,5,4,2,5
"P007",4,4,2,2,2,5,5,5,4,5,5,2,1,1,5
"P008",1,4,2,2,3,1,5,2,1,5,1,2,1,1,2
"P009",1,1,5,3,1,1,1,1,4,3,1,5,1,5,1
"P010",4,1,5,5,4,1,5,5,1,3,1,4,3,1,5
"P011",1,1,2,4,1,2,1,1,5,3,1,2,1,2,2
"P012",1,1,5,5,4,5,5,5,5,5,5,5,4,4,5
"P013",5,5,5,4,5,5,1,5,5,5,5,5,5,5,5
"P014",5,4,5,5,3,5,5,5,5,5,3,3,5,1,5
"P015",1,5,5,2,1,1,1,2,1,1,1,1,1,1,1
"P016",5,5,5,4,2,5,4,1,2,4,3,4,3,1,1
"P017",5,5,5,5,2,5,1,5,3,4,5,2,1,4,2
"P018",5,5,2,4,4,5,5,5,4,5,1,5,5,1,1
"P019",5,5,5,5,2,5,5,5,5,5,2,5,5,5,5
"P020",5,1,2,3,1,2,5,5,1,2,1,2,1,1,1
"P021",5,4,2,5,1,5,5,5,5,5,4,4,3,4,5
"P022",5,2,2,2,1,5,1,2,5,5,1,2,3,1,2
"P023",5,5,5,4,1,1,1,5,5,5,4,5,4,1,1
"P024",5,4,4,2,4,1,2,5,5,5,1,1,1,1,1
"P025",1,1,2,1,1,1,1,1,3,1,2,5,1,1,1
"P026",1,2,5,1,1,5,4,3,1,2,4,5,3,1,5
"P027",5,5,3,4,1,1,5,3,5,5,2,5,3,3,5
"P028",1,1,2,2,1,1,1,1,1,1,1,1,4,1,1
"P029",1,5,5,5,3,2,5,5,5,5,4,5,3,5,1
"P030",5,4,2,1,3,5,5,5,5,5,1,4,1,5,2
"P031",1,1,5,3,1,1,1,5,1,3,1,2,2,1,2
"P032",1,2,3,4,1,5,5,5,5,5,1,2,3,4,1
"P033",1,1,2,3,1,1,1,3,4,1,1,4,3,2,5
"P034",5,5,1,5,1,5,2,3,5,5,1,1,1,1,5
"P035",5,2,1,4,1,1,1,1,5,3,1,4,3,3,1
"P036",5,4,1,1,1,1,1,3,1,2,1,1,3,4,2
"P037",5,5,5,3,3,5,2,5,5,5,5,2,1,2,2
"P038",5,2,4,3,4,4,5,5,3,5,1,4,3,4,1
"P039",5,1,1,4,1,1,1,5,2,1,1,2,3,1,5
"P040",5,5,5,5,1,5,5,5,4,5,4,1,4,5,2
"P041",1,1,2,1,1,4,1,3,1,1,1,1,1,4,1
"P042",5,2,1,4,1,4,1,3,4,1,1,5,4,4,5
"P043",1,3,1,5,1,5,5,5,5,5,5,5,4,4,5
"P044",5,4,2,4,4,1,5,5,5,4,4,2,4,1,1
"P045",5,1,5,2,3,5,5,5,5,5,5,5,4,1,2
"P046",5,5,5,2,4,5,1,5,5,4,3,4,2,2,5
"P047",1,2,4,5,2,1,2,1,2,5,1,2,1,1,4
"P048",1,1,2,5,1,1,1,5,4,1,1,1,1,1,4
"P049",1,1,1,2,1,1,1,1,1,1,1,4,2,1,1
"P050",5,2,1,2,1,1,1,3,1,3,1,1,1,1,1
"P051",5,2,1,1,1,1,1,5,1,4,1,2,2,1,1
"P052",5,1,1,1,1,5,5,2,5,2,2,4,1,2,5
"P053",1,2,2,5,1,5,5,5,4,5,1,1,1,5,1
"P054",2,1,2,2,1,1,5,1,1,2,1,2,5,1,1
"P055",1,1,2,1,1,1,1,5,1,5,5,4,3,2,2
"P056",5,5,2,3,4,5,1,3,4,2,2,4,4,1,4
"P057",5,1,1,2,1,1,1,1,3,3,1,2,3,1,5
"P058",5,5,5,3,4,5,5,5,5,5,2,5,1,4,5
"P059",1,2,5,5,1,5,1,1,4,1,1,2,2,1,5
"P060",1,1,5,5,1,5,5,5,1,5,5,2,4,2,3
"P061",5,5,5,2,1,1,5,5,5,5,1,2,3,2,1
"P062",5,2,3,5,2,1,5,5,5,5,5,4,3,2,2
"P063",5,5,5,5,4,5,3,5,1,5,2,2,3,5,5
"P064",5,5,3,5,4,5,1,4,5,5,5,5,4,2,4
"P065",5,1,1,3,4,1,5,3,4,4,1,1,3,2,4
"P066",5,5,5,5,1,5,5,3,1,5,1,5,3,3,5
"P067",5,1,2,4,1,1,1,5,1,4,1,2,4,2,1
"P068",5,5,5,2,1,4,4,4,5,5,2,4,3,1,5
"P069",1,1,1,1,1,1,3,1,2,1,1,5,1,3,1
"P070",1,5,5,2,1,1,5,3,5,5,1,5,1,1,2
"P071",5,1,2,2,1,1,5,1,5,2,1,2,1,2,1
"P072",2,2,5,4,2,5,1,5,5,5,4,2,4,5,5
"P073",1,5,2,5,1,5,5,1,5,5,3,5,3,1,4
"P074",1,1,1,2,1,1,1,1,5,1,1,2,3,1,5
"P075",5,5,3,4,4,5,5,5,4,5,5,5,3,4,5
"P076",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
"P077",1,1,2,1,4,1,1,1,4,2,1,5,1,2,1
"P078",1,5,5,4,4,5,5,5,3,4,4,5,4,5,5
"P079",1,1,5,1,1,5,5,5,5,1,2,4,3,1,2
"P080",1,5,5,4,1,5,5,5,5,4,1,2,3,5,2
"P081",4,1,2,1,1,5,5,3,4,5,1,2,1,1,2
"P082",1,1,1,2,1,1,5,5,1,3,1,1,3,1,5
"P083",1,5,1,3,1,1,1,1,3,5,1,2,3,1,1
"P084",1,5,5,3,1,3,1,5,5,5,1,4,4,1,2
"P085",1,1,2,4,1,1,1,2,1,1,1,1,2,2,5
"P086",1,1,1,1,3,1,1,1,4,1,1,1,1,1,1
"P087",1,5,2,5,4,5,5,2,5,5,1,2,3,5,5
"P088",1,4,1,2,1,2,1,1,3,4,1,1,3,2,1
"P089",5,5,3,5,4,4,5,5,1,4,4,5,3,3,4
"P090",5,5,2,3,1,5,5,1,4,5,5,1,3,2,2
"P091",5,5,5,5,4,2,5,5,4,5,1,5,3,3,1
"P092",5,5,2,5,4,5,1,5,5,5,1,5,4,4,5
"P093",5,5,5,2,3,5,1,1,5,5,3,5,1,1,5
"P094",5,5,5,4,4,5,5,5,5,5,5,5,5,4,2
"P095",1,1,2,1,4,1,1,2,1,1,1,2,1,1,2
"P096",4,4,1,4,4,3,5,3,3,5,1,2,1,1,2
"P097",5,5,1,1,1,1,1,1,5,4,1,1,4,3,1
"P098",4,1,2,5,1,5,2,3,5,4,2,5,4,5,5
"P099",1,1,5,5,4,1,4,5,5,5,5,4,1,1,5
"P100",5,5,5,3,4,5,4,5,5,5,2,4,5,4,5
"P101",1,5,3,4,1,5,5,5,5,4,5,2,3,1,1
"P102",5,1,5,4,2,5,5,5,5,5,1,1,2,3,1
"P103",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"P104",5,4,2,5,1,1,5,5,5,5,4,2,3,1,4
"P105",5,2,2,4,5,5,1,1,5,4,1,2,1,1,4
"P106",1,5,2,1,3,1,5,1,4,5,3,2,3,1,5
"P107",5,1,2,1,4,1,5,1,1,4,1,5,1,1,1
"P108",5,1,1,1,1,5,1,1,1,5,1,2,4,5,1
"P109",1,5,2,5,1,1,1,5,5,2,1,2,3,4,5
"P110",5,1,5,5,4,5,5,5,5,4,4,1,4,5,5
"P111",1,4,2,4,1,1,1,1,4,4,1,2,3,1,2
"P112",1,1,4,2,1,1,1,3,1,5,2,4,3,4,1
"P113",5,5,1,5,5,5,5,5,5,1,4,4,1,5,5
"P114",1,4,5,4,1,1,2,5,5,2,1,4,3,5,1
"P115",1,1,5,5,5,5,5,5,4,4,1,2,5,1,2
"P116",1,1,1,2,1,1,1,5,3,5,2,5,2,1,2
"P117",3,5,2,5,1,5,1,5,5,5,4,2,4,5,5
"P118",5,5,5,4,1,5,1,5,5,5,4,5,5,1,1
"P119",1,5,5,5,5,5,5,1,5,5,5,5,5,5,5
"P120",5,5,1,4,1,1,4,2,5,1,1,4,1,1,1
"P121",4,5,1,1,1,1,1,5,1,2,4,2,1,1,1
"P122",5,4,5,2,3,1,5,3,5,1,1,2,3,1,1
"P123",1,1,2,4,3,5,3,1,5,5,1,4,1,1,1
