"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15"
"P001",4,4,3,3,4,5,5,2,1,3,1,2,3,3,3
"P002",4,2,4,4,4,5,3,3,3,1,3,4,2,3,4
"P003",5,3,2,3,1,2,2,3,1,2,1,3,2,3,4
"P004",1,2,1,1,1,2,1,1,1,1,1,2,2,1,2
"P005",1,2,2,1,3,3,2,3,1,1,1,3,1,1,2
"P006",3,1,3,1,1,3,1,2,1,1,2,3,1,2,1
"P007",1,1,2,1,2,1,2,2,1,1,2,2,2,2,3
"P008",1,2,1,1,1,1,1,1,1,1,1,1,1,1,2
"P009",1,1,3,1,4,3,5,2,1,2,2,2,3,3,2
"P010",2,2,2,2,2,1,1,3,1,2,1,1,1,2,3
"P011",2,2,4,1,3,4,4,2,1,2,4,4,3,3,3
"P012",4,1,4,3,3,4,2,2,1,3,2,2,3,2,4
"P013",1,1,2,2,1,2,1,1,1,1,1,2,1,1,1
"P014",4,3,5,5,5,5,5,5,5,3,4,5,5,2,5
"P015",1,1,3,5,4,5,2,4,1,2,2,3,4,3,4
"P016",3,2,4,4,4,4,4,4,1,2,5,2,4,3,4
"P017",3,3,4,4,5,5,4,5,4,5,4,3,4,3,4
"P018",5,4,4,2,4,4,4,4,4,3,3,2,4,5,4
"P019",3,2,5,5,2,4,4,4,5,1,3,3,4,4,5
"P020",1,1,1,3,2,2,3,3,1,1,2,1,4,1,3
"P021",2,1,1,2,2,2,1,1,1,1,3,1,3,2,3
"P022",3,2,3,1,2,5,5,2,1,1,1,2,3,3,3
"P023",5,3,4,4,3,5,5,2,3,3,4,5,3,5,3
"P024",1,1,1,2,1,1,2,2,1,1,2,1,1,2,2
"P025",3,3,2,4,1,5,3,3,1,5,3,2,1,2,3
"P026",2,2,3,1,1,2,1,3,1,1,2,1,2,2,1
"P027",3,4,2,5,4,4,3,5,4,4,3,3,5,3,3
"P028",2,3,2,4,4,4,3,3,1,2,1,2,3,2,3
"P029",2,1,2,1,1,1,1,2,1,1,2,2,2,3,4
"P030",2,1,3,1,2,2,3,2,2,1,4,2,4,2,3
"P031",2,3,3,3,4,5,4,3,2,1,4,2,3,2,3
"P032",4,4,3,4,2,5,5,3,3,3,3,3,4,3,3
"P033",3,3,3,2,2,2,2,4,1,1,2,2,2,2,3
"P034",1,1,1,1,2,2,2,1,1,1,1,2,1,2,1
"P035",5,5,4,4,4,4,3,3,2,5,1,5,4,5,1
"P036",4,2,5,4,4,5,3,5,1,1,2,3,4,3,5
"P037",3,1,3,4,3,4,4,3,1,3,2,2,4,3,3
"P038",2,2,1,2,3,5,4,5,1,2,1,2,3,3,2
"P039",1,1,2,1,1,1,1,2,1,1,3,1,1,2,2
"P040",2,2,4,2,2,3,1,2,1,1,2,3,2,2,3
"P041",3,2,4,4,4,4,3,2,1,1,2,4,4,3,2
"P042",2,3,5,2,2,2,2,3,1,3,1,2,2,3,3
"P043",4,3,5,4,1,2,2,3,1,1,1,2,2,2,4
"P044",4,2,5,4,4,2,2,4,1,5,3,4,2,5,3
"P045",1,2,2,1,3,1,2,1,1,1,1,2,2,2,3
"P046",2,4,4,5,4,5,4,3,1,3,4,2,4,2,3
"P047",2,1,3,2,3,2,4,2,1,2,4,3,3,3,3
"P048",5,3,4,4,3,5,4,5,2,5,5,5,2,5,5
"P049",4,3,5,4,2,5,3,4,2,3,4,4,3,3,4
"P050",1,1,3,2,2,1,1,2,1,1,2,1,3,2,3
"P051",5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
"P052",1,3,4,5,4,3,3,2,1,3,2,3,2,2,3
"P053",1,3,2,3,1,2,1,1,1,1,1,2,1,1,1
"P054",2,2,3,4,5,2,3,4,3,1,3,2,2,3,5
"P055",3,2,5,5,2,5,3,4,1,1,2,5,3,3,4
"P056",2,3,4,1,2,2,5,3,3,4,3,4,3,2,3
"P057",5,5,5,5,4,5,5,3,3,3,4,4,3,4,5
"P058",2,3,3,3,1,4,2,3,1,1,1,2,3,3,4
"P059",2,2,3,2,1,1,2,2,1,3,1,2,1,3,1
"P060",3,2,3,5,2,3,1,3,3,3,3,3,4,3,5
"P061",3,3,5,4,5,5,4,5,4,4,2,4,5,3,5
"P062",1,2,2,3,2,4,3,2,1,1,1,1,3,2,2
"P063",3,1,3,3,1,2,4,3,1,1,1,3,2,1,3
"P064",1,1,1,1,1,1,1,1,1,1,1,2,1,1,3
"P065",1,2,4,3,4,4,1,3,1,1,1,2,2,2,2
"P066",2,3,2,1,1,2,1,2,1,1,2,3,2,2,3
"P067",3,3,1,2,3,2,5,3,1,1,3,1,2,2,4
"P068",1,4,5,2,3,3,5,5,1,1,2,3,5,3,4
"P069",4,5,5,4,3,5,3,4,2,4,2,2,4,3,3
"P070",2,5,3,2,2,4,2,3,2,1,3,2,4,4,4
"P071",1,2,2,3,2,1,1,2,1,3,1,4,2,2,3
"P072",1,1,3,2,4,4,3,3,1,2,2,3,1,3,3
"P073",2,5,5,3,3,3,1,3,1,1,4,3,3,3,3
"P074",3,1,4,3,3,4,5,3,4,3,2,3,5,5,4
"P075",2,2,2,2,2,2,3,3,2,1,4,1,2,1,2
"P076",4,4,5,3,4,3,2,4,2,4,3,2,3,2,3
"P077",5,3,5,2,4,4,4,4,5,3,4,5,3,2,5
"P078",2,2,2,1,2,4,5,2,1,1,1,2,3,3,2
"P079",4,2,3,2,1,3,5,3,3,1,1,4,3,3,4
"P080",2,1,2,2,1,2,2,2,1,1,1,2,2,3,2
"P081",5,5,4,3,3,3,3,3,2,1,3,2,2,1,4
"P082",1,1,2,2,2,1,1,1,1,1,2,3,2,1,3
"P083",1,1,1,1,1,2,2,2,1,2,1,2,2,1,3
"P084",4,4,4,4,5,5,5,4,1,5,4,4,4,3,4
"P085",2,4,3,5,4,3,3,4,2,4,2,4,5,4,4
"P086",3,1,1,1,2,2,2,2,4,1,1,2,3,3,3
"P087",2,1,3,2,1,1,1,1,1,1,2,2,2,1,3
"P088",1,3,3,2,3,4,2,2,1,3,1,4,3,2,3
"P089",2,2,2,3,3,4,2,2,1,1,1,2,2,1,3
"P090",1,1,3,3,2,5,4,3,1,2,2,1,1,2,3
"P091",1,1,2,2,1,2,1,1,1,1,1,1,1,3,2
"P092",2,1,4,1,1,3,2,3,1,1,1,2,2,3,3
"P093",1,1,3,2,4,4,4,3,2,3,4,2,4,3,2
"P094",3,2,5,5,4,4,5,5,4,2,4,2,5,3,3
"P095",3,5,2,4,2,5,3,3,3,4,2,3,5,3,5
"P096",4,3,5,5,3,4,5,5,5,3,2,4,3,4,4
"P097",1,1,1,1,1,1,2,1,1,1,1,2,1,1,2
"P098",2,3,5,3,3,5,5,4,4,4,5,4,3,3,2
"P099",1,1,1,1,1,1,2,2,1,1,1,2,1,2,1
"P100",5,1,5,4,5,5,5,5,5,3,4,5,5,4,4
"P101",5,4,5,5,4,5,5,5,4,4,5,3,5,4,5
"P102",1,3,4,1,2,1,2,3,1,2,5,2,1,2,2
"P103",2,5,5,3,3,5,4,2,2,1,4,4,3,3,3
"P104",2,1,1,2,1,3,4,2,1,2,3,2,1,1,3
"P105",1,1,1,1,1,1,2,2,1,1,1,2,2,1,2
"P106",2,1,4,3,2,5,3,3,1,1,2,2,2,2,4
"P107",2,2,3,2,4,2,2,3,3,4,1,4,5,4,4
"P108",3,2,5,3,4,3,5,3,3,2,2,3,2,3,3
"P109",2,1,3,1,3,1,1,2,1,1,1,2,2,1,3
"P110",3,3,5,2,3,5,4,3,4,1,4,5,3,3,5
"P111",1,1,2,2,2,3,2,3,2,1,1,1,2,1,1
"P112",3,2,1,1,1,2,2,1,1,1,1,1,1,3,1
"P113",3,3,4,2,2,2,4,3,2,1,1,3,2,3,3
"P114",2,1,4,2,1,2,2,2,1,1,1,3,4,2,3
"P115",2,3,3,1,1,1,4,1,1,1,1,2,3,3,3
"P116",2,1,2,1,1,3,2,2,1,1,1,3,2,3,1
"P117",2,1,2,2,2,4,4,2,1,1,1,4,4,1,3
"P118",1,1,2,1,1,3,2,1,1,2,1,2,2,1,2
"P119",3,2,5,5,4,5,5,5,2,1,2,4,5,5,4
"P120",4,5,4,5,4,5,5,4,4,2,3,4,5,3,4
"P121",3,1,2,2,1,2,4,2,2,2,1,2,1,1,3
"P122",1,4,2,3,1,2,5,2,2,1,2,1,2,2,2
"P123",2,2,3,5,2,1,3,2,3,1,1,2,3,2,3
"P124",3,1,4,2,2,5,4,3,2,3,3,4,3,3,3
"P125",3,2,4,5,5,5,5,5,4,5,4,3,4,3,5
"P126",4,3,5,4,4,5,4,4,5,3,5,3,4,4,4
"P127",2,3,2,3,5,4,2,3,2,1,5,4,4,3,2
"P128",4,4,5,5,5,5,5,5,5,5,5,4,4,5,4
"P129",2,4,5,4,4,5,3,5,4,4,3,4,4,3,5
"P130",2,1,3,2,1,2,1,1,2,3,1,2,1,1,3
"P131",2,3,4,2,1,4,2,2,1,1,2,4,3,2,1
"P132",3,5,5,5,5,5,5,5,5,5,5,5,5,5,4
"P133",3,2,4,3,5,2,4,4,3,1,1,5,4,3,5
"P134",3,4,3,1,2,3,2,1,2,1,1,3,2,2,3
"P135",2,3,5,2,2,4,3,4,4,4,1,1,2,2,3
"P136",2,3,3,5,2,5,4,2,1,2,3,3,2,3,4
"P137",5,5,4,4,5,5,5,5,5,3,5,4,5,5,4
"P138",1,1,3,3,2,4,2,3,1,5,1,1,2,2,2
"P139",1,5,4,2,3,5,4,2,1,1,3,1,3,3,4
"P140",2,3,5,2,3,4,3,2,1,2,1,2,3,3,1
"P141",5,5,5,5,5,5,5,4,5,4,4,4,4,4,4
"P142",1,1,3,1,2,1,2,1,1,1,1,1,1,1,1
"P143",2,1,2,1,2,2,1,2,1,2,2,1,1,1,1
"P144",3,3,4,4,2,4,4,5,1,3,1,2,4,2,3
"P145",3,5,4,4,4,5,5,4,4,5,2,5,4,4,4
"P146",3,2,5,2,1,3,4,3,2,1,2,3,2,2,3
"P147",2,3,3,3,2,3,3,4,3,2,4,2,3,2,3
"P148",2,4,5,3,5,5,2,3,1,4,5,2,5,2,3
"P149",2,1,3,3,1,1,4,3,1,2,1,4,4,3,3
"P150",2,5,4,1,3,5,3,4,1,1,2,2,2,4,4
"P151",3,5,4,3,1,3,1,3,2,2,2,4,5,2,3
"P152",1,4,2,2,3,2,4,2,1,1,3,2,3,3,3
"P153",1,2,1,2,1,2,2,1,1,1,1,1,1,2,3
"P154",3,3,1,1,3,4,2,3,1,3,2,2,2,3,4
"P155",4,2,4,2,2,5,4,4,1,1,3,2,5,3,4
"P156",3,5,4,3,2,3,4,3,1,2,1,2,3,3,3
"P157",3,5,4,4,4,5,5,5,2,2,4,4,5,4,3
"P158",1,2,3,1,1,1,4,1,1,1,2,2,3,2,3
"P159",5,5,5,4,5,5,4,4,4,4,3,5,4,5,5
"P160",1,5,5,4,4,3,5,5,2,4,2,3,5,3,4
"P161",3,2,4,3,2,2,3,2,1,1,2,4,2,2,3
"P162",1,1,2,1,1,2,2,3,1,1,1,3,2,1,3
"P163",4,4,5,5,5,5,4,3,5,4,3,3,5,3,5
"P164",3,1,4,4,4,3,4,3,2,1,3,2,3,3,3
"P165",4,3,4,5,3,1,2,3,2,2,4,2,2,3,3
"P166",3,2,2,2,5,3,5,2,1,2,2,3,1,2,3
"P167",2,1,2,2,1,2,3,2,1,2,1,2,1,2,2
"P168",3,1,3,3,3,4,3,3,2,4,3,3,2,2,3
"P169",2,2,4,1,2,5,3,3,1,1,2,1,2,1,4
"P170",3,3,4,5,4,5,4,2,3,2,5,4,3,2,3
"P171",1,1,1,1,1,2,2,1,1,1,1,1,1,1,2
"P172",3,3,4,1,1,3,1,4,1,3,3,5,3,5,3
"P173",4,5,5,5,4,5,5,4,4,4,4,3,5,4,4
"P174",1,2,1,1,1,1,1,2,1,1,1,2,1,2,2
"P175",3,3,3,3,3,4,4,3,3,3,4,3,3,3,3
"P176",3,4,5,3,3,5,3,5,1,1,2,2,3,3,4
"P177",2,1,3,3,2,2,3,2,1,2,1,3,3,3,3
"P178",1,2,3,3,1,4,1,3,3,2,3,5,2,3,4
"P179",1,1,2,1,1,1,1,2,1,1,1,2,2,2,3
"P180",1,1,1,1,1,1,2,1,1,2,2,2,2,1,2
"P181",1,1,1,3,1,1,1,3,1,2,2,2,2,2,1
"P182",4,3,5,4,4,4,5,5,4,5,3,3,5,3,5
"P183",1,3,4,3,2,4,5,4,1,1,1,2,3,2,4
"P184",2,1,4,4,3,5,5,3,1,1,1,3,3,3,4
"P185",5,4,3,5,5,5,5,5,5,4,5,4,4,5,5
"P186",1,5,4,4,3,3,3,3,2,3,3,2,5,3,3
"P187",3,4,5,4,3,3,4,5,2,1,1,2,3,3,4
"P188",2,2,4,2,2,3,2,3,2,1,1,2,2,3,4
