"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"P001",1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0
"P002",1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0
"P003",0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
"P004",0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0
"P005",0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0
"P006",1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
"P007",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
"P008",0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
"P009",1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
"P010",1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
"P011",0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
"P012",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"P013",1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1
"P014",1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1
"P015",0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0
"P016",1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0
"P017",1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
"P018",0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0
"P019",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
"P020",1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0
"P021",1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"P022",1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0
