"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20","Item21","Item22","Item23","Item24"
"P001",5,2,1,2,1,4,5,2,2,5,1,1,1,1,5,5,4,5,1,3,2,4,5,4
"P002",3,1,3,2,2,4,5,5,2,2,1,1,2,3,1,1,5,2,5,5,5,1,1,4
"P003",5,3,5,5,5,3,1,4,2,1,1,1,2,3,1,1,1,3,5,3,2,1,3,5
"P004",5,5,2,5,2,2,5,5,1,1,1,1,1,1,1,1,5,2,3,4,4,3,5,1
"P005",5,5,5,2,5,5,5,5,4,1,1,4,2,5,3,1,1,1,3,2,1,1,4,1
"P006",5,5,1,5,2,1,5,5,3,5,5,1,5,5,4,4,1,1,1,2,5,3,4,1
"P007",5,3,1,2,2,3,5,5,4,1,4,1,4,5,5,1,5,1,5,4,5,3,3,4
"P008",5,3,1,4,1,1,1,2,1,5,4,4,5,5,4,5,4,4,5,5,2,4,5,5
"P009",5,2,1,1,1,1,1,1,3,1,4,1,2,5,1,4,1,1,1,2,1,1,1,2
"P010",5,5,5,5,5,5,5,4,1,3,1,4,1,4,1,1,1,1,1,2,2,3,5,3
"P011",5,5,2,5,5,5,5,5,2,5,4,1,3,1,1,3,1,2,3,2,1,1,3,4
"P012",5,5,3,4,2,5,5,2,5,5,4,1,5,2,5,4,1,3,1,3,2,1,1,1
"P013",1,4,3,5,4,5,1,1,4,3,5,4,5,5,5,4,5,4,5,5,4,3,4,1
"P014",3,3,1,1,5,1,1,5,4,5,4,4,5,5,4,3,5,5,5,3,4,1,4,1
"P015",4,4,1,2,2,5,2,2,2,5,2,1,2,1,1,1,1,1,1,2,2,1,4,1
"P016",5,5,5,4,3,4,1,5,2,3,4,5,2,5,1,3,1,5,5,5,3,2,5,4
"P017",1,1,1,2,1,1,1,1,1,1,1,4,5,5,3,4,1,2,1,1,5,4,3,1
"P018",1,2,2,2,4,4,1,5,5,5,4,5,2,5,1,4,1,3,1,5,2,3,5,4
"P019",5,5,5,5,5,4,1,4,5,2,1,2,4,4,1,4,1,1,1,2,2,3,2,2
"P020",5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,3,5,5,4,3,4,4
"P021",3,5,5,2,2,4,5,4,5,5,1,4,5,5,5,5,1,5,5,5,5,3,4,4
"P022",1,3,5,1,5,2,5,2,2,1,1,1,5,1,1,4,5,1,5,2,2,1,1,1
"P023",5,3,2,2,2,5,2,5,5,1,1,1,5,5,4,4,2,5,5,1,4,4,5,1
"P024",5,5,2,2,2,1,4,4,2,5,4,5,5,4,5,4,1,5,3,2,4,1,1,1
"P025",4,3,1,5,1,3,1,5,5,3,1,1,1,5,4,4,1,3,3,5,2,3,4,3
"P026",1,5,2,2,4,5,4,4,5,5,4,5,5,5,4,5,5,4,1,5,2,3,5,5
"P027",5,5,5,5,5,5,5,4,2,3,1,1,5,1,1,5,5,5,5,1,2,4,1,1
"P028",3,5,5,4,5,4,1,1,5,5,5,1,4,2,4,4,5,5,3,5,5,3,5,4
"P029",5,1,5,4,2,5,1,5,5,1,1,2,2,5,1,3,5,1,3,2,4,5,5,4
"P030",1,3,1,2,1,5,1,2,3,5,1,3,5,3,3,3,4,5,5,3,5,5,5,5
"P031",5,2,5,2,2,5,5,1,5,5,4,4,2,5,4,4,5,1,5,5,4,5,5,4
"P032",2,1,1,5,1,3,5,2,5,1,4,4,5,3,1,5,1,5,5,5,2,5,5,4
"P033",4,5,5,2,1,5,5,5,2,3,1,1,2,1,1,1,1,2,5,1,5,4,5,3
"P034",4,1,1,2,1,3,1,2,5,5,1,4,2,1,1,5,1,1,5,3,5,3,4,4
"P035",5,5,5,5,5,5,3,2,5,5,5,5,5,1,1,5,2,2,1,3,1,1,1,2
"P036",5,3,1,2,1,3,1,1,5,5,1,1,1,4,1,4,4,3,3,2,2,3,5,2
"P037",5,4,3,2,4,3,5,5,4,5,1,1,5,5,2,4,1,2,3,5,2,3,4,4
"P038",5,2,1,2,2,1,5,5,5,5,5,4,5,5,5,1,4,2,1,5,2,1,1,1
"P039",3,5,5,4,2,2,3,5,2,5,1,1,4,1,2,2,1,2,5,4,2,1,4,3
"P040",5,3,2,2,5,4,1,2,5,2,1,1,5,5,1,4,1,1,1,1,2,1,1,1
"P041",5,5,1,5,2,1,5,5,2,1,1,1,1,3,1,3,1,1,1,2,5,2,1,1
"P042",5,5,5,2,5,5,5,5,4,5,4,5,5,5,5,5,1,5,3,2,5,1,5,1
"P043",5,5,5,2,1,4,5,5,4,5,2,4,3,5,5,5,1,1,1,1,1,2,1,1
"P044",5,5,5,1,1,4,5,4,2,5,1,1,2,5,1,3,5,1,1,5,2,1,1,3
"P045",2,3,1,5,1,1,1,5,4,5,1,1,1,1,1,1,5,2,5,5,2,4,4,5
"P046",5,5,3,1,5,3,5,5,2,2,4,1,4,1,1,1,1,1,5,5,5,1,5,1
"P047",5,5,3,5,5,5,5,5,2,2,1,4,2,3,5,5,4,5,5,5,5,5,5,4
"P048",5,5,5,5,5,1,5,5,2,2,5,5,5,2,3,1,4,5,1,5,5,3,4,5
"P049",3,5,1,2,1,4,1,1,3,5,5,5,4,5,4,5,5,2,5,5,1,4,4,5
"P050",5,3,2,5,2,1,1,1,5,5,2,1,5,5,3,5,4,2,5,5,4,5,4,4
"P051",1,4,1,5,4,3,4,5,5,5,5,4,2,5,4,4,1,1,5,2,2,1,4,1
"P052",1,2,1,1,1,1,1,1,3,5,4,5,4,5,3,4,1,1,1,1,5,1,1,1
"P053",1,5,1,5,5,4,1,5,5,3,5,4,4,5,2,4,2,5,5,3,4,4,5,4
"P054",1,2,1,1,1,1,1,2,2,3,4,1,1,1,1,4,5,5,5,5,4,5,5,5
"P055",1,3,1,3,2,1,1,1,5,3,4,1,5,5,1,3,5,1,5,2,2,5,5,3
"P056",5,4,1,2,1,4,5,2,4,3,5,4,3,1,1,4,1,2,1,2,2,3,5,1
"P057",3,1,2,5,2,5,5,1,5,3,5,3,2,2,5,1,1,5,1,2,5,3,1,1
"P058",5,5,1,1,1,3,1,5,2,3,1,1,1,1,1,1,5,5,5,5,5,1,5,5
"P059",5,5,3,5,2,5,5,5,4,3,5,4,2,5,1,1,4,4,3,3,5,3,3,5
"P060",2,4,1,2,2,4,1,2,5,5,5,5,5,5,5,4,1,5,1,2,1,4,5,1
"P061",5,5,3,5,5,4,4,5,5,5,5,4,4,1,5,4,1,4,1,3,5,2,5,4
"P062",3,5,2,5,5,5,1,4,5,5,5,4,5,5,5,2,2,1,1,5,1,5,5,5
"P063",5,5,5,5,5,5,2,5,4,5,5,1,4,5,4,5,1,1,5,1,2,3,1,4
"P064",1,3,5,2,2,1,5,2,2,3,4,1,5,2,4,4,2,1,1,4,1,5,4,1
"P065",5,2,1,2,5,4,5,1,1,1,1,4,3,1,1,4,1,1,5,1,4,4,4,1
"P066",1,3,1,1,2,4,1,2,4,1,5,1,2,1,1,3,5,5,5,1,4,3,3,4
"P067",5,5,5,5,4,5,1,5,2,5,1,5,2,5,1,5,1,2,5,5,1,2,4,2
"P068",5,2,2,4,2,1,3,4,5,1,4,5,2,1,5,5,1,2,1,3,1,3,1,4
"P069",5,4,5,4,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,1,4,5
"P070",5,2,1,4,2,3,1,1,4,5,5,3,5,5,1,3,1,1,1,2,1,1,1,1
"P071",1,3,1,2,1,4,1,2,2,2,1,5,3,5,1,3,1,1,3,5,2,1,2,5
"P072",5,5,5,5,5,5,5,5,5,3,5,1,5,1,1,1,1,1,4,3,2,3,4,1
"P073",5,3,5,2,4,3,1,1,1,2,1,1,2,1,1,4,1,1,1,1,2,3,5,4
"P074",4,4,1,1,2,5,5,5,1,1,1,1,3,5,1,1,1,3,2,3,2,1,2,4
"P075",3,4,1,1,2,1,1,2,2,1,5,1,1,1,1,5,2,5,3,2,1,1,1,1
"P076",3,2,5,2,5,5,1,4,5,5,4,4,5,3,5,5,5,1,1,2,2,2,1,1
"P077",3,3,5,2,2,3,5,2,2,5,4,4,5,5,5,5,1,5,5,1,2,1,4,5
"P078",5,5,5,5,4,5,5,2,5,5,5,1,2,5,5,5,1,1,1,3,1,5,3,2
"P079",5,5,5,4,3,4,5,2,5,5,4,1,2,5,1,1,1,1,3,2,1,3,1,1
"P080",3,5,5,5,5,1,5,3,5,5,4,5,4,1,2,5,4,5,5,5,5,5,5,5
"P081",3,2,1,2,1,1,2,4,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,5
"P082",3,5,5,5,5,5,5,5,2,2,1,1,2,3,1,1,1,1,1,5,2,3,4,5
"P083",4,3,5,2,5,4,1,5,1,2,1,1,2,5,1,1,1,2,3,5,1,1,5,1
"P084",5,4,5,2,2,1,5,5,2,5,4,1,1,1,1,5,1,2,5,5,5,5,2,4
"P085",5,4,5,4,5,5,5,5,4,1,1,1,4,1,1,5,5,1,1,2,1,1,2,1
"P086",5,5,1,5,5,3,5,2,2,1,1,2,1,5,4,4,2,1,1,2,2,3,1,4
"P087",5,3,2,2,2,4,5,2,3,1,4,1,5,5,3,1,1,2,1,5,2,1,2,1
"P088",5,5,2,2,5,5,5,5,5,5,4,5,5,5,3,5,4,2,1,2,5,4,2,1
"P089",1,2,5,4,2,3,1,2,5,2,1,4,1,3,4,1,5,5,5,5,5,5,5,5
"P090",1,4,1,5,5,2,3,5,4,5,5,1,5,5,2,5,1,1,5,5,4,3,4,5
"P091",5,5,5,5,2,5,5,5,1,3,1,1,1,1,1,1,2,2,5,5,5,5,5,5
"P092",5,5,5,4,5,5,4,5,2,3,1,1,1,1,1,4,1,4,5,4,4,3,5,5
"P093",1,1,1,1,1,1,1,3,4,3,4,5,5,5,5,4,1,5,3,5,2,4,5,4
"P094",4,5,2,2,2,1,5,2,5,3,4,4,5,5,5,5,2,5,5,1,2,1,5,2
"P095",5,5,5,4,3,4,5,5,1,1,1,4,2,1,1,3,1,3,5,5,1,1,2,3
"P096",5,5,5,5,5,5,5,4,2,3,4,1,2,3,3,1,5,2,5,5,5,5,5,4
"P097",5,4,5,5,2,5,5,4,2,5,4,4,2,1,1,5,1,5,2,1,2,4,5,4
"P098",5,5,2,5,4,5,1,5,1,1,1,1,1,1,1,1,5,1,5,2,4,5,4,5
"P099",3,5,1,1,2,5,5,2,2,1,1,1,5,1,1,1,4,4,3,5,2,3,2,4
"P100",5,5,5,5,5,3,5,5,4,1,4,1,4,4,1,3,2,1,1,1,2,5,1,1
"P101",5,3,2,4,4,5,5,5,5,5,4,5,5,5,5,5,1,2,1,2,2,1,1,1
"P102",5,5,2,3,1,3,1,2,3,5,4,1,2,1,1,3,5,5,2,1,2,3,1,2
"P103",4,2,1,2,2,1,5,2,5,5,5,5,5,5,5,3,1,3,5,2,2,4,2,5
"P104",2,2,2,1,2,3,5,2,5,5,4,2,5,1,5,5,5,5,3,5,1,5,4,2
"P105",1,3,1,2,1,1,1,3,5,5,4,1,5,5,4,3,1,3,5,5,5,2,4,5
"P106",5,5,5,5,2,4,5,5,2,3,4,1,5,5,1,2,5,5,5,1,2,5,5,5
"P107",1,2,1,4,5,1,1,1,4,3,1,1,2,1,1,3,1,5,1,5,2,1,1,1
"P108",4,3,5,2,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,2,3,3,4
"P109",5,5,5,5,5,4,2,2,2,1,5,1,2,3,2,3,1,1,1,1,1,1,1,1
"P110",5,3,5,2,2,4,2,1,5,3,4,5,2,5,1,4,1,2,2,1,1,1,4,1
"P111",1,4,5,1,2,1,5,2,5,5,1,1,4,5,1,4,5,5,5,4,4,3,4,2
"P112",5,5,5,5,5,5,5,5,2,1,4,1,1,3,1,3,1,3,5,5,2,1,5,5
"P113",1,2,2,5,5,5,5,5,5,5,5,1,5,4,4,5,1,2,1,5,1,1,1,1
"P114",5,3,5,5,2,5,5,5,5,3,5,5,5,3,5,5,1,5,5,3,4,1,5,4
"P115",4,5,5,2,3,1,5,2,4,5,1,4,4,1,5,5,5,5,5,5,4,3,5,5
"P116",5,4,2,2,5,3,5,5,1,3,1,1,1,5,4,1,1,1,5,3,5,1,5,4
"P117",5,5,5,5,2,4,5,2,2,2,1,1,5,5,5,1,4,4,5,2,4,5,5,4
"P118",5,4,5,5,2,5,5,5,4,5,2,5,5,3,3,4,1,3,1,5,2,5,2,1
"P119",5,5,5,5,2,3,5,5,2,5,4,1,1,1,5,5,1,5,1,1,1,1,1,4
"P120",5,5,1,4,2,5,1,2,2,3,1,1,2,5,1,4,1,4,5,2,5,3,5,4
"P121",5,3,5,3,4,4,5,4,2,3,1,1,4,1,4,1,5,1,5,5,4,3,4,4
"P122",3,5,2,2,4,5,5,4,5,3,1,5,2,5,1,5,1,5,5,3,2,3,1,1
"P123",4,5,1,5,5,5,5,1,5,5,4,5,5,5,5,4,1,1,1,5,5,1,3,1
"P124",5,5,5,5,5,3,5,2,2,1,1,4,2,5,1,4,5,5,5,5,5,4,5,2
"P125",1,2,5,2,2,3,3,5,5,5,4,1,2,2,1,5,5,4,5,5,4,5,5,4
"P126",4,5,2,5,5,5,5,2,1,1,1,1,1,1,1,1,5,5,1,4,5,5,5,2
"P127",5,5,5,5,5,5,1,5,4,1,4,1,2,1,1,2,5,5,1,5,2,1,5,5
"P128",5,1,5,1,2,1,5,2,1,1,1,1,1,1,1,1,2,5,5,5,5,5,4,4
"P129",1,2,1,2,1,5,1,4,2,5,4,1,2,5,1,3,1,1,1,2,3,3,4,1
"P130",1,3,1,4,1,1,1,1,2,5,1,1,5,3,5,5,1,1,1,1,2,3,4,1
"P131",3,5,2,4,5,4,5,5,2,3,1,1,2,4,1,5,1,1,1,2,1,2,3,1
"P132",1,5,1,2,1,3,4,1,5,5,5,5,5,5,5,4,1,3,1,1,1,3,1,1
