"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"P001",1,0,0,1,1,1,1,0,0,1,NA,1,0,1,1,1,1,1,0,NA
"P002",1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,NA,0,1
"P003",1,0,NA,0,1,0,0,0,1,1,1,0,0,NA,1,0,1,1,0,1
"P004",1,1,1,1,1,0,1,0,1,1,NA,1,1,1,1,0,1,0,0,1
"P005",NA,0,1,0,1,0,1,0,0,0,1,0,0,0,1,NA,1,0,0,1
"P006",NA,0,1,1,1,NA,1,0,1,1,1,0,1,0,1,1,1,0,0,1
"P007",1,0,1,1,1,0,1,0,1,1,NA,1,1,NA,0,0,1,1,NA,1
"P008",1,0,1,NA,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1
"P009",1,0,1,0,1,1,1,0,1,1,NA,0,1,1,0,0,1,1,1,1
"P010",1,1,1,0,1,0,1,1,NA,1,1,NA,1,1,1,1,1,0,1,1
"P011",1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1
"P012",1,0,0,NA,1,0,0,0,1,0,1,1,0,0,0,0,1,NA,0,1
"P013",0,0,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"P014",1,1,1,0,1,0,NA,0,1,0,1,1,1,NA,1,0,1,1,0,1
"P015",NA,0,0,0,1,NA,1,0,1,NA,1,0,NA,0,0,0,1,1,0,0
"P016",1,1,1,1,1,0,1,0,1,1,1,0,NA,1,1,1,1,0,1,0
"P017",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"P018",1,0,0,0,1,0,1,NA,1,1,1,1,0,0,1,0,0,0,0,0
"P019",0,0,NA,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"P020",0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,1,0,1,0,0,0
"P021",0,NA,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,1
"P022",0,NA,0,NA,0,0,0,0,0,1,1,NA,0,1,0,NA,0,0,0,0
"P023",1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1
"P024",1,NA,NA,1,1,0,1,0,1,0,1,0,1,1,0,0,1,NA,0,1
"P025",0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
"P026",1,0,1,1,1,0,NA,0,1,1,1,0,1,0,1,0,1,1,0,1
"P027",1,0,NA,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1
