"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10"
"P001",1,1,1,0,1,1,1,1,1,0
"P002",1,0,0,0,0,0,1,1,0,0
"P003",1,0,1,1,1,0,1,1,1,1
"P004",0,0,1,0,0,0,1,1,0,0
"P005",0,0,1,0,0,0,1,1,0,0
"P006",1,1,0,0,1,0,1,1,1,0
"P007",0,0,1,0,1,0,1,1,0,1
"P008",0,0,0,1,1,0,1,1,1,0
"P009",1,1,1,1,0,1,1,1,1,1
"P010",0,0,1,0,0,0,1,1,1,0
"P011",1,0,1,1,1,0,1,1,0,0
"P012",0,0,0,0,0,0,1,0,0,0
"P013",1,1,1,0,0,1,1,1,1,1
"P014",1,0,1,1,0,0,1,0,1,0
"P015",1,1,1,1,1,1,1,1,1,1
"P016",1,0,1,0,0,0,1,1,0,0
"P017",1,0,1,0,1,0,0,1,1,1
"P018",0,1,0,0,0,1,1,0,1,1
"P019",1,1,1,1,1,1,1,1,1,1
"P020",1,0,1,0,1,0,1,1,1,0
"P021",1,0,1,1,0,0,1,1,1,1
"P022",0,1,1,1,1,0,1,1,1,1
"P023",1,1,1,1,1,0,1,1,1,1
"P024",1,0,1,0,1,1,1,1,1,1
"P025",1,0,1,0,0,0,1,1,1,1
"P026",0,0,0,0,1,0,1,0,1,0
"P027",0,0,1,1,0,0,1,1,0,0
"P028",0,0,1,0,0,0,0,0,0,0
"P029",1,0,0,1,0,0,1,1,1,1
"P030",1,0,0,0,1,0,1,1,1,0
"P031",1,1,1,1,1,1,1,1,1,0
"P032",1,0,1,0,1,1,1,1,0,1
"P033",1,0,0,0,0,0,1,1,1,0
"P034",1,1,1,1,1,1,1,1,0,1
"P035",0,0,0,0,0,0,1,0,1,1
"P036",1,0,1,1,1,1,1,1,1,1
"P037",1,1,1,0,1,0,0,1,1,1
"P038",1,1,1,1,0,0,1,1,1,0
"P039",0,0,1,1,1,0,1,1,1,1
"P040",1,0,1,1,1,1,1,1,1,1
